predicted_genus,real_species,correct_prediction,real_genus,filepath
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_52.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_53.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_54.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_55.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_56.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_57.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_58.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_59.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_6.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_60.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_61.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_110.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_124.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_138.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_151.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_165.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_21.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_35.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_49.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_62.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_76.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_63.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_64.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_65.jpg
Leptacinus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_66.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_67.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_68.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_69.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_7.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_70.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_71.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_72.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_73.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_74.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_75.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_77.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_78.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_79.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_8.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_80.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_81.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_82.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_83.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_84.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_85.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_86.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_87.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_88.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_89.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_9.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_90.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_91.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_92.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_93.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_94.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_95.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_96.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_97.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_98.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_99.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_111.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_112.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_113.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_114.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_115.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_116.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_117.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_118.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_119.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_12.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_120.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_121.jpg
Astenus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_122.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_123.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_125.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_126.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_127.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_128.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_129.jpg
Othius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_13.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_130.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_131.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_132.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_133.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_134.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_135.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_136.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_137.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_139.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_14.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_140.jpg
Othius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_141.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_142.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_143.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_144.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_145.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_146.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_147.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_148.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_149.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_15.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_150.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_152.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_153.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_154.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_155.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_156.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_157.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_158.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_159.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_16.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_160.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_161.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_162.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_163.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_164.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_166.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_167.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_168.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_169.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_17.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_170.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_171.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_172.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_173.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_174.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_175.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_176.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_177.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_178.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_179.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_18.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_180.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_181.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_182.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_183.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_184.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_185.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_186.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_19.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_2.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_20.jpg
