class,f1_score,precision,recall,support
Heterothops dissimilis,0.5,1.0,0.33,3.0
Philonthus intermedius,1.0,1.0,1.0,7.0
Philonthus alpinus,1.0,1.0,1.0,2.0
Quedius picipes,1.0,1.0,1.0,6.0
Lathrobium impressum,1.0,1.0,1.0,27.0
Philonthus discoideus,1.0,1.0,1.0,10.0
Quedius nigriceps,1.0,1.0,1.0,4.0
Atrecus longiceps,1.0,1.0,1.0,2.0
Quedius curtipennis,0.8,1.0,0.67,3.0
Bisnius fimetarius,1.0,1.0,1.0,30.0
Lathrobium dilutum,1.0,1.0,1.0,1.0
micro avg,0.93,0.93,0.93,1644.0
