correct_prediction,predicted_genus,real_species,real_genus,filepath
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_137.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_121.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_99.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_158.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_149.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_67.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_164.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_37.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_169.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_39.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_109.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_54.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_47.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_148.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_102.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_182.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_30.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_90.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_42.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_18.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_111.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_134.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_88.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_62.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_92.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_60.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_51.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_120.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_48.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_80.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_17.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_33.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_138.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_106.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_73.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_22.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_81.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_31.jpg
False,Achenium,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_140.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_96.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_7.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_0.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_71.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_20.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_132.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_174.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_66.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_78.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_23.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_160.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_36.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_59.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_177.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_105.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_135.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_151.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_16.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_27.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_65.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_64.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_70.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_165.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_104.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_45.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_41.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_79.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_146.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_162.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_83.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_157.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_34.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_98.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_161.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_46.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_11.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_115.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_114.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_35.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_127.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_58.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_110.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_24.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_128.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_87.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_52.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_8.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_25.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_12.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_44.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_56.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_136.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_163.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_75.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_2.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_82.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_133.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_179.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_122.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_49.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_77.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_154.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_178.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_43.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_123.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_152.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_57.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_153.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_38.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_117.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_21.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_166.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_181.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_85.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_53.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_50.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_167.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_76.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_108.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_84.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_130.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_5.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_69.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_68.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_173.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_72.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_94.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_1.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_125.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_91.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_116.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_40.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_95.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_150.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_141.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_86.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_143.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_118.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_107.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_100.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_155.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_63.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_74.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_124.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_55.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_170.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_97.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_26.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_3.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_139.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_171.jpg
False,Achenium,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_119.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_14.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_15.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_126.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_175.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_113.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_159.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_145.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_19.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_172.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_13.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_129.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_93.jpg
False,Bisnius,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_29.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_156.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_168.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_10.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_61.jpg
