,Filename,Label,Prediction1,Prediction3a,Prediction3a_prob,Prediction3b,Prediction3b_prob,Prediction3c,Prediction3c_prob
28,images_genus_shuffled_aspect_416/Dinothenarus/Dinothenarus pubescens_6.jpg,Dinothenarus,Dinothenarus,Creophilus,4.126518e-07,Ontholestes,8.178221e-06,Dinothenarus,0.9999914
29,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_24.jpg,Sunius,Sunius,Medon,8.057376e-08,Othius,1.4577124e-06,Sunius,0.99999845
30,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_28.jpg,Sunius,Sunius,Lithocharis,2.3743765e-07,Othius,1.4091663e-06,Sunius,0.9999981
31,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_29.jpg,Sunius,Sunius,Medon,1.2705235e-08,Othius,1.3029693e-07,Sunius,0.9999999
32,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_30.jpg,Sunius,Sunius,Othius,1.9700072e-07,Medon,1.3764119e-06,Sunius,0.99999833
33,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_32.jpg,Sunius,Sunius,Lithocharis,2.4034178e-05,Othius,0.00011496756,Sunius,0.99984396
34,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_34.jpg,Sunius,Sunius,Othius,1.6583166e-06,Medon,3.9954853e-06,Sunius,0.9999943
35,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_37.jpg,Sunius,Sunius,Medon,1.08330894e-07,Othius,6.562157e-05,Sunius,0.9999342
36,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_38.jpg,Sunius,Sunius,Medon,1.1370029e-06,Othius,3.6023534e-06,Sunius,0.99999523
37,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_40.jpg,Sunius,Sunius,Medon,4.551732e-09,Othius,5.6667786e-06,Sunius,0.9999943
38,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_46.jpg,Sunius,Sunius,Othius,8.1428317e-07,Medon,9.2995935e-05,Sunius,0.99990594
39,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_50.jpg,Sunius,Sunius,Medon,7.792758e-09,Othius,1.9570984e-07,Sunius,0.99999976
40,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_53.jpg,Sunius,Sunius,Medon,2.4375938e-06,Othius,2.2700611e-05,Sunius,0.9999746
41,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_60.jpg,Sunius,Sunius,Othius,7.899944e-06,Medon,0.000585957,Sunius,0.99940073
42,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_71.jpg,Sunius,Sunius,Othius,3.9354454e-08,Medon,1.266925e-06,Sunius,0.9999987
43,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_77.jpg,Sunius,Sunius,Othius,1.305081e-08,Medon,4.2727225e-07,Sunius,0.9999995
44,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_81.jpg,Sunius,Sunius,Paederidus,5.6162213e-07,Othius,7.164958e-06,Sunius,0.9999918
45,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_90.jpg,Sunius,Sunius,Othius,1.2190049e-10,Medon,3.134437e-09,Sunius,1.0
46,images_genus_shuffled_aspect_416/Sunius/Sunius bicolor_91.jpg,Sunius,Sunius,Medon,3.3686964e-10,Othius,3.2142196e-09,Sunius,1.0
47,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_100.jpg,Sunius,Sunius,Medon,0.0005040291,Pseudomedon,0.03630202,Sunius,0.9625888
48,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_101.jpg,Sunius,Sunius,Paederidus,1.07627436e-07,Othius,1.2110263e-07,Sunius,0.99999976
49,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_110.jpg,Sunius,Sunius,Lithocharis,1.4088558e-06,Medon,1.498316e-05,Sunius,0.9999827
50,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_113.jpg,Sunius,Sunius,Pseudomedon,7.494936e-08,Medon,1.6096295e-05,Sunius,0.9999838
51,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_117.jpg,Sunius,Sunius,Pseudomedon,6.3011446e-10,Medon,1.7032864e-09,Sunius,1.0
52,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_16.jpg,Sunius,Sunius,Pseudomedon,8.411628e-09,Medon,3.8654758e-08,Sunius,1.0
53,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_18.jpg,Sunius,Sunius,Medon,1.8242251e-07,Othius,8.6961876e-07,Sunius,0.9999988
54,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_19.jpg,Sunius,Sunius,Pseudomedon,2.5408065e-08,Medon,1.7002456e-05,Sunius,0.99998295
55,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_23.jpg,Sunius,Sunius,Othius,3.8004195e-08,Medon,1.6254434e-06,Sunius,0.9999982
56,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_27.jpg,Sunius,Sunius,Leptacinus,3.9257415e-08,Othius,8.0860545e-08,Sunius,0.9999999
57,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_35.jpg,Sunius,Sunius,Pseudomedon,7.3623356e-09,Medon,1.7699957e-06,Sunius,0.9999982
58,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_38.jpg,Sunius,Sunius,Lathrobium,2.9114696e-07,Othius,0.00010906134,Sunius,0.9998902
59,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_41.jpg,Sunius,Sunius,Othius,4.242257e-07,Pseudomedon,9.2762855e-07,Sunius,0.9999982
60,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_45.jpg,Sunius,Sunius,Lithocharis,1.604384e-08,Othius,3.2056438e-08,Sunius,1.0
61,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_51.jpg,Sunius,Sunius,Leptacinus,9.821115e-10,Othius,4.3488288e-07,Sunius,0.9999995
62,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_56.jpg,Sunius,Sunius,Medon,2.5831204e-07,Othius,2.6062366e-07,Sunius,0.9999994
63,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_60.jpg,Sunius,Sunius,Medon,6.335164e-10,Othius,3.4094605e-09,Sunius,1.0
64,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_62.jpg,Sunius,Sunius,Lithocharis,0.00034881604,Medon,0.0051776413,Sunius,0.9944102
65,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_72.jpg,Sunius,Sunius,Lithocharis,2.37109e-06,Medon,1.1918036e-05,Sunius,0.9999838
66,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_76.jpg,Sunius,Sunius,Medon,1.769598e-08,Othius,3.2564517e-07,Sunius,0.99999964
67,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_77.jpg,Sunius,Sunius,Othius,5.467865e-08,Medon,8.4332534e-08,Sunius,0.99999976
68,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_90.jpg,Sunius,Sunius,Pseudomedon,1.0804854e-06,Medon,3.9581155e-05,Sunius,0.999959
69,images_genus_shuffled_aspect_416/Sunius/Sunius melanocephalus_92.jpg,Sunius,Sunius,Othius,5.270471e-06,Medon,2.8817385e-05,Sunius,0.99995995
70,images_genus_shuffled_aspect_416/Platydracus/Platydracus fulvipes_13.jpg,Platydracus,Platydracus,Velleius,8.441915e-06,Staphylinus,1.50286605e-05,Platydracus,0.9999697
71,images_genus_shuffled_aspect_416/Platydracus/Platydracus fulvipes_16.jpg,Platydracus,Platydracus,Staphylinus,0.0018693679,Ocypus,0.007863942,Platydracus,0.98890895
72,images_genus_shuffled_aspect_416/Platydracus/Platydracus fulvipes_17.jpg,Platydracus,Platydracus,Ontholestes,8.4349274e-05,Staphylinus,0.00042403172,Platydracus,0.9992587
73,images_genus_shuffled_aspect_416/Platydracus/Platydracus fulvipes_3.jpg,Platydracus,Platydracus,Staphylinus,1.818961e-07,Velleius,2.801098e-06,Platydracus,0.99999666
74,images_genus_shuffled_aspect_416/Platydracus/Platydracus fulvipes_33.jpg,Platydracus,Platydracus,Velleius,1.1946709e-06,Staphylinus,1.905001e-06,Platydracus,0.9999963
75,images_genus_shuffled_aspect_416/Platydracus/Platydracus fulvipes_34.jpg,Platydracus,Platydracus,Tasgius,3.5147704e-07,Velleius,2.002319e-06,Platydracus,0.9999969
76,images_genus_shuffled_aspect_416/Platydracus/Platydracus fulvipes_9.jpg,Platydracus,Platydracus,Tasgius,1.7636054e-05,Staphylinus,1.89191e-05,Platydracus,0.9999541
77,images_genus_shuffled_aspect_416/Platydracus/Platydracus latebricola_18.jpg,Platydracus,Platydracus,Megalinus,1.0041308e-07,Staphylinus,5.0655335e-06,Platydracus,0.99999464
78,images_genus_shuffled_aspect_416/Platydracus/Platydracus latebricola_19.jpg,Platydracus,Platydracus,Dinothenarus,7.582934e-06,Megalinus,2.7416712e-05,Platydracus,0.9999614
79,images_genus_shuffled_aspect_416/Platydracus/Platydracus latebricola_4.jpg,Platydracus,Platydracus,Ontholestes,5.9860027e-05,Staphylinus,0.00195437,Platydracus,0.99796665
80,images_genus_shuffled_aspect_416/Platydracus/Platydracus latebricola_5.jpg,Platydracus,Platydracus,Staphylinus,5.2863757e-05,Megalinus,0.00011693513,Platydracus,0.99981123
81,images_genus_shuffled_aspect_416/Platydracus/Platydracus latebricola_7.jpg,Platydracus,Platydracus,Gauropterus,5.41933e-05,Megalinus,0.039124515,Platydracus,0.9607894
82,images_genus_shuffled_aspect_416/Platydracus/Platydracus stercorarius_11.jpg,Platydracus,Platydracus,Megalinus,1.8122054e-06,Staphylinus,5.507998e-05,Platydracus,0.99994314
83,images_genus_shuffled_aspect_416/Platydracus/Platydracus stercorarius_12.jpg,Platydracus,Platydracus,Dinothenarus,4.4013193e-09,Staphylinus,9.370808e-06,Platydracus,0.9999906
84,images_genus_shuffled_aspect_416/Platydracus/Platydracus stercorarius_29.jpg,Platydracus,Platydracus,Staphylinus,2.9800413e-09,Megalinus,1.8116154e-08,Platydracus,1.0
85,images_genus_shuffled_aspect_416/Platydracus/Platydracus stercorarius_32.jpg,Platydracus,Platydracus,Dinothenarus,0.00029437995,Staphylinus,0.00051691505,Platydracus,0.99897027
86,images_genus_shuffled_aspect_416/Platydracus/Platydracus stercorarius_33.jpg,Platydracus,Platydracus,Megalinus,1.2562676e-07,Staphylinus,5.6653016e-07,Platydracus,0.9999993
87,images_genus_shuffled_aspect_416/Platydracus/Platydracus stercorarius_35.jpg,Platydracus,Platydracus,Staphylinus,1.3096043e-09,Megalinus,2.1137867e-09,Platydracus,1.0
88,images_genus_shuffled_aspect_416/Platydracus/Platydracus stercorarius_43.jpg,Platydracus,Platydracus,Megalinus,1.5752697e-07,Staphylinus,1.4573706e-06,Platydracus,0.99999845
89,images_genus_shuffled_aspect_416/Platydracus/Platydracus stercorarius_47.jpg,Platydracus,Platydracus,Staphylinus,7.697989e-09,Megalinus,3.1037177e-07,Platydracus,0.99999964
90,images_genus_shuffled_aspect_416/Platydracus/Platydracus stercorarius_9.jpg,Platydracus,Platydracus,Megalinus,4.7644292e-07,Staphylinus,0.0026249674,Platydracus,0.9973744
91,images_genus_shuffled_aspect_416/Atrecus/Atrecus affinis_17.jpg,Atrecus,Atrecus,Lithocharis,2.031862e-10,Gyrohypnus,2.8421983e-09,Atrecus,1.0
92,images_genus_shuffled_aspect_416/Atrecus/Atrecus affinis_18.jpg,Atrecus,Atrecus,Lithocharis,9.672499e-12,Gyrohypnus,2.0611828e-11,Atrecus,1.0
93,images_genus_shuffled_aspect_416/Atrecus/Atrecus affinis_20.jpg,Atrecus,Othius,Xantholinus,0.00035978155,Atrecus,0.23745425,Othius,0.76158535
94,images_genus_shuffled_aspect_416/Atrecus/Atrecus affinis_28.jpg,Atrecus,Atrecus,Nudobius,5.3345445e-08,Othius,8.442653e-08,Atrecus,0.9999999
95,images_genus_shuffled_aspect_416/Atrecus/Atrecus affinis_34.jpg,Atrecus,Atrecus,Nudobius,8.009467e-10,Lithocharis,9.522537e-09,Atrecus,1.0
96,images_genus_shuffled_aspect_416/Atrecus/Atrecus affinis_40.jpg,Atrecus,Atrecus,Paederus,1.4638799e-05,Othius,6.491479e-05,Atrecus,0.99990165
97,images_genus_shuffled_aspect_416/Atrecus/Atrecus affinis_44.jpg,Atrecus,Atrecus,Lobrathium,1.23666305e-05,Nudobius,0.0017904778,Atrecus,0.9981846
98,images_genus_shuffled_aspect_416/Atrecus/Atrecus affinis_5.jpg,Atrecus,Atrecus,Nudobius,2.5345136e-12,Lithocharis,2.730362e-12,Atrecus,1.0
99,images_genus_shuffled_aspect_416/Atrecus/Atrecus affinis_8.jpg,Atrecus,Atrecus,Lobrathium,7.571099e-07,Othius,9.190249e-07,Atrecus,0.99999833
100,images_genus_shuffled_aspect_416/Atrecus/Atrecus longiceps_22.jpg,Atrecus,Othius,Nudobius,0.027658982,Atrecus,0.31456766,Othius,0.62797153
101,images_genus_shuffled_aspect_416/Atrecus/Atrecus longiceps_25.jpg,Atrecus,Atrecus,Nudobius,1.2617728e-05,Othius,9.532344e-05,Atrecus,0.9998801
102,images_genus_shuffled_aspect_416/Atrecus/Atrecus longiceps_28.jpg,Atrecus,Nudobius,Lobrathium,0.12122586,Atrecus,0.3335955,Nudobius,0.5063739
103,images_genus_shuffled_aspect_416/Atrecus/Atrecus longiceps_4.jpg,Atrecus,Atrecus,Lithocharis,4.834906e-10,Gyrohypnus,6.722544e-10,Atrecus,1.0
104,images_genus_shuffled_aspect_416/Atrecus/Atrecus longiceps_9.jpg,Atrecus,Atrecus,Nudobius,0.00016398303,Lobrathium,0.003506988,Atrecus,0.99609596
105,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_100.jpg,Paederidus,Paederidus,Rugilus,1.84112e-06,Paederus,4.0201944e-06,Paederidus,0.99999416
106,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_108.jpg,Paederidus,Paederidus,Gauropterus,1.4306004e-08,Paederus,5.72217e-07,Paederidus,0.9999994
107,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_110.jpg,Paederidus,Paederidus,Gauropterus,4.180507e-05,Paederus,0.000124296,Paederidus,0.9998054
108,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_121.jpg,Paederidus,Paederidus,Acylophorus,2.4872563e-07,Paederus,1.0336563e-06,Paederidus,0.99999857
109,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_126.jpg,Paederidus,Paederidus,Paederus,0.0010436105,Gauropterus,0.0093792295,Paederidus,0.9893979
110,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_134.jpg,Paederidus,Paederidus,Rugilus,2.6288195e-08,Paederus,3.5442733e-07,Paederidus,0.99999964
111,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_138.jpg,Paederidus,Paederidus,Tetartopeus,8.4685624e-08,Paederus,2.7350845e-06,Paederidus,0.999997
112,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_142.jpg,Paederidus,Paederidus,Tetartopeus,4.1750337e-07,Paederus,4.329486e-07,Paederidus,0.99999833
113,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_150.jpg,Paederidus,Paederidus,Rugilus,2.6450493e-09,Paederus,9.6751194e-08,Paederidus,0.9999999
114,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_153.jpg,Paederidus,Paederidus,Gauropterus,8.649703e-08,Paederus,4.1868716e-07,Paederidus,0.9999993
115,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_158.jpg,Paederidus,Paederidus,Gauropterus,2.4020371e-06,Paederus,4.068323e-06,Paederidus,0.99999285
116,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_165.jpg,Paederidus,Paederidus,Acylophorus,6.684318e-09,Paederus,1.3685619e-08,Paederidus,1.0
117,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_179.jpg,Paederidus,Paederidus,Gauropterus,4.8501165e-06,Paederus,6.7642345e-06,Paederidus,0.9999844
118,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_181.jpg,Paederidus,Paederidus,Acylophorus,9.19463e-08,Paederus,2.076687e-07,Paederidus,0.99999964
119,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_189.jpg,Paederidus,Paederidus,Gauropterus,3.9873566e-06,Paederus,6.6507455e-06,Paederidus,0.99998903
120,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_199.jpg,Paederidus,Paederidus,Gauropterus,1.1062646e-07,Paederus,1.291058e-06,Paederidus,0.99999857
121,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_207.jpg,Paederidus,Paederidus,Gauropterus,1.45145265e-08,Paederus,1.1235066e-06,Paederidus,0.9999989
122,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_211.jpg,Paederidus,Paederidus,Paederus,3.3270386e-05,Xantholinus,0.00012340717,Paederidus,0.9998109
123,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_218.jpg,Paederidus,Paederidus,Gauropterus,1.1963027e-05,Paederus,1.3651566e-05,Paederidus,0.9999666
124,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_220.jpg,Paederidus,Paederidus,Gauropterus,5.7873945e-07,Paederus,1.8020412e-05,Paederidus,0.9999809
125,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_224.jpg,Paederidus,Paederidus,Rugilus,1.2308963e-07,Paederus,1.9258616e-05,Paederidus,0.99998057
126,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_227.jpg,Paederidus,Paederidus,Gauropterus,2.8270773e-07,Paederus,1.8072351e-06,Paederidus,0.9999976
127,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_228.jpg,Paederidus,Paederidus,Paederus,6.4347616e-05,Rugilus,0.0015051682,Paederidus,0.9984297
128,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_229.jpg,Paederidus,Paederidus,Acylophorus,5.983009e-08,Paederus,1.1132217e-06,Paederidus,0.9999988
129,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_232.jpg,Paederidus,Paederidus,Paederus,1.309536e-06,Philonthus,2.1724395e-06,Paederidus,0.99999595
130,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_235.jpg,Paederidus,Paederidus,Tetartopeus,2.7396118e-07,Paederus,1.676027e-05,Paederidus,0.9999825
131,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_237.jpg,Paederidus,Paederidus,Ontholestes,4.6254577e-06,Philonthus,7.84628e-06,Paederidus,0.999984
132,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_238.jpg,Paederidus,Paederidus,Philonthus,3.6242806e-08,Paederus,2.3910554e-06,Paederidus,0.9999975
133,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_242.jpg,Paederidus,Paederidus,Xantholinus,1.6457327e-05,Rugilus,0.0003071051,Paederidus,0.999676
134,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_245.jpg,Paederidus,Paederidus,Philonthus,1.4501591e-05,Paederus,6.992101e-05,Paederidus,0.9998878
135,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_25.jpg,Paederidus,Paederidus,Rugilus,6.4273635e-08,Paederus,4.22325e-05,Paederidus,0.99995756
136,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_27.jpg,Paederidus,Paederidus,Sunius,8.574855e-09,Paederus,1.354272e-06,Paederidus,0.9999987
137,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_39.jpg,Paederidus,Paederidus,Gauropterus,6.1480455e-07,Paederus,2.6193425e-06,Paederidus,0.99999666
138,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_41.jpg,Paederidus,Paederidus,Acylophorus,1.0238921e-06,Paederus,7.153525e-05,Paederidus,0.999926
139,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_49.jpg,Paederidus,Paederidus,Gauropterus,4.7290106e-07,Paederus,5.82997e-06,Paederidus,0.99999344
140,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_51.jpg,Paederidus,Paederidus,Acylophorus,1.3258668e-08,Paederus,3.5017795e-06,Paederidus,0.99999654
141,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_52.jpg,Paederidus,Paederidus,Paederus,1.8899766e-05,Rugilus,4.5644556e-05,Paederidus,0.99993503
142,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_59.jpg,Paederidus,Paederidus,Xantholinus,5.9415726e-09,Paederus,1.0533678e-07,Paederidus,0.9999999
143,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_64.jpg,Paederidus,Paederidus,Philonthus,2.5604962e-07,Paederus,7.2058237e-06,Paederidus,0.9999924
144,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_69.jpg,Paederidus,Paederidus,Tetartopeus,7.761638e-06,Paederus,1.5025121e-05,Paederidus,0.99997544
145,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_72.jpg,Paederidus,Paederidus,Xantholinus,9.2677226e-08,Paederus,5.199723e-06,Paederidus,0.9999945
146,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_76.jpg,Paederidus,Paederidus,Rugilus,2.496594e-07,Paederus,4.484067e-06,Paederidus,0.9999949
147,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_83.jpg,Paederidus,Paederidus,Tetartopeus,5.2989304e-07,Paederus,1.0602602e-05,Paederidus,0.9999881
148,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_87.jpg,Paederidus,Paederidus,Tetartopeus,3.901789e-09,Paederus,9.4750516e-07,Paederidus,0.99999905
149,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_93.jpg,Paederidus,Paederidus,Acylophorus,2.4383172e-07,Paederus,3.1562345e-06,Paederidus,0.9999963
150,images_genus_shuffled_aspect_416/Paederidus/Paederidus ruficollis_94.jpg,Paederidus,Paederidus,Bisnius,0.00010648542,Philonthus,0.0035920723,Paederidus,0.9961702
