Filename,Prediction1,Prediction3
images_genus/Sunius/Sunius bicolor_17.jpg,Rugilus,"[('Bisnius', 0.06839703), ('Lithocharis', 0.13108236), ('Rugilus', 0.33235186)]"
images_genus/Sunius/Sunius bicolor_18.jpg,Rugilus,"[('Bisnius', 0.069278896), ('Lithocharis', 0.13170892), ('Rugilus', 0.3334589)]"
images_genus/Sunius/Sunius bicolor_19.jpg,Rugilus,"[('Bisnius', 0.06876296), ('Lithocharis', 0.13321409), ('Rugilus', 0.33303466)]"
images_genus/Sunius/Sunius bicolor_20.jpg,Rugilus,"[('Bisnius', 0.06843229), ('Lithocharis', 0.13317809), ('Rugilus', 0.32952592)]"
images_genus/Sunius/Sunius bicolor_21.jpg,Rugilus,"[('Bisnius', 0.068364285), ('Lithocharis', 0.13211201), ('Rugilus', 0.33101356)]"
images_genus/Sunius/Sunius bicolor_22.jpg,Rugilus,"[('Bisnius', 0.06850389), ('Lithocharis', 0.1323671), ('Rugilus', 0.32932833)]"
images_genus/Sunius/Sunius bicolor_23.jpg,Rugilus,"[('Bisnius', 0.06824133), ('Lithocharis', 0.13129175), ('Rugilus', 0.3330879)]"
images_genus/Sunius/Sunius bicolor_24.jpg,Rugilus,"[('Bisnius', 0.06875568), ('Lithocharis', 0.13298318), ('Rugilus', 0.3323245)]"
images_genus/Sunius/Sunius bicolor_25.jpg,Rugilus,"[('Bisnius', 0.067959964), ('Lithocharis', 0.13241975), ('Rugilus', 0.32700855)]"
images_genus/Sunius/Sunius bicolor_26.jpg,Rugilus,"[('Bisnius', 0.06856698), ('Lithocharis', 0.13328697), ('Rugilus', 0.33328465)]"
images_genus/Sunius/Sunius bicolor_9.jpg,Rugilus,"[('Bisnius', 0.06847268), ('Lithocharis', 0.13168548), ('Rugilus', 0.33425826)]"
images_genus/Sunius/Sunius melanocephalus_11.jpg,Rugilus,"[('Bisnius', 0.0683665), ('Lithocharis', 0.13190499), ('Rugilus', 0.33440363)]"
images_genus/Sunius/Sunius melanocephalus_12.jpg,Rugilus,"[('Bisnius', 0.06869101), ('Lithocharis', 0.13242175), ('Rugilus', 0.3343655)]"
images_genus/Sunius/Sunius melanocephalus_13.jpg,Rugilus,"[('Bisnius', 0.068548106), ('Lithocharis', 0.13286747), ('Rugilus', 0.330941)]"
images_genus/Sunius/Sunius melanocephalus_14.jpg,Rugilus,"[('Bisnius', 0.0693814), ('Lithocharis', 0.13122208), ('Rugilus', 0.33756083)]"
images_genus/Sunius/Sunius melanocephalus_15.jpg,Rugilus,"[('Bisnius', 0.06851167), ('Lithocharis', 0.1319416), ('Rugilus', 0.33280152)]"
images_genus/Sunius/Sunius melanocephalus_16.jpg,Rugilus,"[('Bisnius', 0.06872711), ('Lithocharis', 0.13187343), ('Rugilus', 0.3341495)]"
images_genus/Sunius/Sunius melanocephalus_17.jpg,Rugilus,"[('Bisnius', 0.06806982), ('Lithocharis', 0.1325493), ('Rugilus', 0.32877633)]"
images_genus/Sunius/Sunius melanocephalus_18.jpg,Rugilus,"[('Bisnius', 0.069405116), ('Lithocharis', 0.13089234), ('Rugilus', 0.33624807)]"
images_genus/Sunius/Sunius melanocephalus_19.jpg,Rugilus,"[('Bisnius', 0.06845245), ('Lithocharis', 0.13209745), ('Rugilus', 0.33325332)]"
images_genus/Sunius/Sunius melanocephalus_20.jpg,Rugilus,"[('Bisnius', 0.068212464), ('Lithocharis', 0.13079004), ('Rugilus', 0.33378413)]"
images_genus/Sunius/Sunius melanocephalus_21.jpg,Rugilus,"[('Bisnius', 0.069217734), ('Lithocharis', 0.13150786), ('Rugilus', 0.33588853)]"
images_genus/Sunius/Sunius melanocephalus_22.jpg,Rugilus,"[('Bisnius', 0.0693984), ('Lithocharis', 0.13111167), ('Rugilus', 0.33335778)]"
images_genus/Sunius/Sunius melanocephalus_23.jpg,Rugilus,"[('Bisnius', 0.068751216), ('Lithocharis', 0.13079719), ('Rugilus', 0.3335461)]"
images_genus/Sunius/Sunius melanocephalus_24.jpg,Rugilus,"[('Bisnius', 0.06830931), ('Lithocharis', 0.13196178), ('Rugilus', 0.33225358)]"
images_genus/Sunius/Sunius melanocephalus_25.jpg,Rugilus,"[('Bisnius', 0.069002554), ('Lithocharis', 0.13105518), ('Rugilus', 0.33307037)]"
images_genus/Sunius/Sunius melanocephalus_26.jpg,Rugilus,"[('Bisnius', 0.06896041), ('Lithocharis', 0.13254222), ('Rugilus', 0.33078092)]"
images_genus/Sunius/Sunius melanocephalus_27.jpg,Rugilus,"[('Bisnius', 0.06869156), ('Lithocharis', 0.13025805), ('Rugilus', 0.3369655)]"
images_genus/Sunius/Sunius melanocephalus_28.jpg,Rugilus,"[('Bisnius', 0.06857411), ('Lithocharis', 0.1329478), ('Rugilus', 0.32502893)]"
images_genus/Sunius/Sunius melanocephalus_29.jpg,Rugilus,"[('Bisnius', 0.06984543), ('Lithocharis', 0.13156188), ('Rugilus', 0.3341136)]"
images_genus/Sunius/Sunius melanocephalus_30.jpg,Rugilus,"[('Bisnius', 0.06932894), ('Lithocharis', 0.13078293), ('Rugilus', 0.3319374)]"
images_genus/Sunius/Sunius melanocephalus_31.jpg,Rugilus,"[('Bisnius', 0.06934465), ('Lithocharis', 0.13152656), ('Rugilus', 0.33409557)]"
images_genus/Sunius/Sunius melanocephalus_32.jpg,Rugilus,"[('Bisnius', 0.0693399), ('Lithocharis', 0.13036758), ('Rugilus', 0.33623284)]"
images_genus/Sunius/Sunius melanocephalus_33.jpg,Rugilus,"[('Bisnius', 0.0693616), ('Lithocharis', 0.13075046), ('Rugilus', 0.3368057)]"
images_genus/Platydracus/Platydracus fulvipes_3.jpg,Rugilus,"[('Bisnius', 0.06713929), ('Lithocharis', 0.13313414), ('Rugilus', 0.31932727)]"
images_genus/Platydracus/Platydracus fulvipes_4.jpg,Rugilus,"[('Bisnius', 0.06974122), ('Lithocharis', 0.13147534), ('Rugilus', 0.32734528)]"
images_genus/Platydracus/Platydracus fulvipes_5.jpg,Rugilus,"[('Bisnius', 0.0674688), ('Lithocharis', 0.13594791), ('Rugilus', 0.31287715)]"
images_genus/Platydracus/Platydracus fulvipes_6.jpg,Rugilus,"[('Bisnius', 0.06851558), ('Lithocharis', 0.12639484), ('Rugilus', 0.33311164)]"
images_genus/Platydracus/Platydracus fulvipes_7.jpg,Rugilus,"[('Bisnius', 0.07017914), ('Lithocharis', 0.12812532), ('Rugilus', 0.31691858)]"
images_genus/Platydracus/Platydracus fulvipes_8.jpg,Rugilus,"[('Bisnius', 0.06744401), ('Lithocharis', 0.12993363), ('Rugilus', 0.3263947)]"
images_genus/Platydracus/Platydracus fulvipes_9.jpg,Rugilus,"[('Bisnius', 0.06797298), ('Lithocharis', 0.12828837), ('Rugilus', 0.33482417)]"
images_genus/Platydracus/Platydracus latebricola_2.jpg,Rugilus,"[('Bisnius', 0.06925155), ('Lithocharis', 0.12678756), ('Rugilus', 0.33992264)]"
images_genus/Platydracus/Platydracus latebricola_3.jpg,Rugilus,"[('Bisnius', 0.069058135), ('Lithocharis', 0.12706135), ('Rugilus', 0.3374791)]"
images_genus/Platydracus/Platydracus latebricola_4.jpg,Rugilus,"[('Bisnius', 0.0678632), ('Lithocharis', 0.13243923), ('Rugilus', 0.31461)]"
images_genus/Platydracus/Platydracus latebricola_5.jpg,Rugilus,"[('Bisnius', 0.069821954), ('Lithocharis', 0.13053745), ('Rugilus', 0.34060922)]"
images_genus/Platydracus/Platydracus latebricola_6.jpg,Rugilus,"[('Bisnius', 0.0675595), ('Lithocharis', 0.13450325), ('Rugilus', 0.31098497)]"
images_genus/Platydracus/Platydracus stercorarius_10.jpg,Rugilus,"[('Bisnius', 0.06969889), ('Lithocharis', 0.1257593), ('Rugilus', 0.3380239)]"
images_genus/Platydracus/Platydracus stercorarius_11.jpg,Rugilus,"[('Bisnius', 0.06985954), ('Lithocharis', 0.1285107), ('Rugilus', 0.32907656)]"
images_genus/Platydracus/Platydracus stercorarius_12.jpg,Rugilus,"[('Bisnius', 0.07038225), ('Lithocharis', 0.12818861), ('Rugilus', 0.33039635)]"
images_genus/Platydracus/Platydracus stercorarius_13.jpg,Rugilus,"[('Bisnius', 0.06853486), ('Lithocharis', 0.12950757), ('Rugilus', 0.33163932)]"
images_genus/Platydracus/Platydracus stercorarius_14.jpg,Rugilus,"[('Bisnius', 0.06881062), ('Lithocharis', 0.12946256), ('Rugilus', 0.33515063)]"
images_genus/Platydracus/Platydracus stercorarius_5.jpg,Rugilus,"[('Bisnius', 0.06944916), ('Lithocharis', 0.12760603), ('Rugilus', 0.3341454)]"
images_genus/Platydracus/Platydracus stercorarius_6.jpg,Rugilus,"[('Bisnius', 0.069452085), ('Lithocharis', 0.12669727), ('Rugilus', 0.33837134)]"
images_genus/Platydracus/Platydracus stercorarius_7.jpg,Rugilus,"[('Bisnius', 0.06891769), ('Lithocharis', 0.12688161), ('Rugilus', 0.32671848)]"
images_genus/Platydracus/Platydracus stercorarius_8.jpg,Rugilus,"[('Bisnius', 0.07040361), ('Lithocharis', 0.12685879), ('Rugilus', 0.33133727)]"
images_genus/Platydracus/Platydracus stercorarius_9.jpg,Rugilus,"[('Bisnius', 0.06999357), ('Lithocharis', 0.12729621), ('Rugilus', 0.33678398)]"
images_genus/Atrecus/Atrecus affinis_10.jpg,Rugilus,"[('Bisnius', 0.06894553), ('Lithocharis', 0.12982404), ('Rugilus', 0.3366718)]"
images_genus/Atrecus/Atrecus affinis_11.jpg,Rugilus,"[('Bisnius', 0.06876712), ('Lithocharis', 0.12881067), ('Rugilus', 0.33988082)]"
images_genus/Atrecus/Atrecus affinis_12.jpg,Rugilus,"[('Bisnius', 0.067665875), ('Lithocharis', 0.1311854), ('Rugilus', 0.33302003)]"
images_genus/Atrecus/Atrecus affinis_4.jpg,Rugilus,"[('Bisnius', 0.068362854), ('Lithocharis', 0.13103825), ('Rugilus', 0.32876164)]"
images_genus/Atrecus/Atrecus affinis_5.jpg,Rugilus,"[('Bisnius', 0.06836702), ('Lithocharis', 0.12848714), ('Rugilus', 0.3395518)]"
images_genus/Atrecus/Atrecus affinis_6.jpg,Rugilus,"[('Bisnius', 0.06941363), ('Lithocharis', 0.12973629), ('Rugilus', 0.3378899)]"
images_genus/Atrecus/Atrecus affinis_7.jpg,Rugilus,"[('Bisnius', 0.06918066), ('Lithocharis', 0.12971024), ('Rugilus', 0.33575866)]"
images_genus/Atrecus/Atrecus affinis_8.jpg,Rugilus,"[('Bisnius', 0.06918439), ('Lithocharis', 0.12928993), ('Rugilus', 0.33550027)]"
images_genus/Atrecus/Atrecus affinis_9.jpg,Rugilus,"[('Bisnius', 0.068718374), ('Lithocharis', 0.131997), ('Rugilus', 0.33384857)]"
images_genus/Atrecus/Atrecus longiceps_2.jpg,Rugilus,"[('Bisnius', 0.06977511), ('Lithocharis', 0.13146555), ('Rugilus', 0.33025214)]"
images_genus/Atrecus/Atrecus longiceps_3.jpg,Rugilus,"[('Bisnius', 0.06945772), ('Lithocharis', 0.12854931), ('Rugilus', 0.33480737)]"
images_genus/Atrecus/Atrecus longiceps_4.jpg,Rugilus,"[('Bisnius', 0.06998639), ('Lithocharis', 0.12965594), ('Rugilus', 0.3365802)]"
images_genus/Atrecus/Atrecus longiceps_5.jpg,Rugilus,"[('Bisnius', 0.06928157), ('Lithocharis', 0.12991221), ('Rugilus', 0.33538273)]"
images_genus/Atrecus/Atrecus longiceps_6.jpg,Rugilus,"[('Bisnius', 0.0697375), ('Lithocharis', 0.13051729), ('Rugilus', 0.33236733)]"
images_genus/Paederidus/Paederidus ruficollis_24.jpg,Rugilus,"[('Bisnius', 0.06814909), ('Lithocharis', 0.13027208), ('Rugilus', 0.33297205)]"
images_genus/Paederidus/Paederidus ruficollis_25.jpg,Rugilus,"[('Bisnius', 0.06961174), ('Lithocharis', 0.12550692), ('Rugilus', 0.34340158)]"
images_genus/Paederidus/Paederidus ruficollis_26.jpg,Rugilus,"[('Bisnius', 0.06744208), ('Lithocharis', 0.13345505), ('Rugilus', 0.33079645)]"
images_genus/Paederidus/Paederidus ruficollis_27.jpg,Rugilus,"[('Bisnius', 0.070001245), ('Lithocharis', 0.124534994), ('Rugilus', 0.34186357)]"
images_genus/Paederidus/Paederidus ruficollis_28.jpg,Rugilus,"[('Bisnius', 0.07042762), ('Lithocharis', 0.12546797), ('Rugilus', 0.34004506)]"
images_genus/Paederidus/Paederidus ruficollis_29.jpg,Rugilus,"[('Bisnius', 0.07013155), ('Lithocharis', 0.122887455), ('Rugilus', 0.34302685)]"
images_genus/Paederidus/Paederidus ruficollis_30.jpg,Rugilus,"[('Bisnius', 0.07086653), ('Lithocharis', 0.12605132), ('Rugilus', 0.33655074)]"
images_genus/Paederidus/Paederidus ruficollis_31.jpg,Rugilus,"[('Bisnius', 0.07160063), ('Lithocharis', 0.11992149), ('Rugilus', 0.34860808)]"
images_genus/Paederidus/Paederidus ruficollis_32.jpg,Rugilus,"[('Bisnius', 0.07041152), ('Lithocharis', 0.12456266), ('Rugilus', 0.3498254)]"
images_genus/Paederidus/Paederidus ruficollis_33.jpg,Rugilus,"[('Bisnius', 0.0682065), ('Lithocharis', 0.12513888), ('Rugilus', 0.34932435)]"
images_genus/Paederidus/Paederidus ruficollis_34.jpg,Rugilus,"[('Bisnius', 0.070590355), ('Lithocharis', 0.12197067), ('Rugilus', 0.3447536)]"
images_genus/Paederidus/Paederidus ruficollis_35.jpg,Rugilus,"[('Bisnius', 0.07177311), ('Lithocharis', 0.12537491), ('Rugilus', 0.34016982)]"
images_genus/Paederidus/Paederidus ruficollis_36.jpg,Rugilus,"[('Bisnius', 0.070106365), ('Lithocharis', 0.12279351), ('Rugilus', 0.34182262)]"
images_genus/Paederidus/Paederidus ruficollis_37.jpg,Rugilus,"[('Bisnius', 0.07078868), ('Lithocharis', 0.12597428), ('Rugilus', 0.34524602)]"
images_genus/Paederidus/Paederidus ruficollis_38.jpg,Rugilus,"[('Bisnius', 0.0704229), ('Lithocharis', 0.12329591), ('Rugilus', 0.35061088)]"
images_genus/Paederidus/Paederidus ruficollis_39.jpg,Rugilus,"[('Bisnius', 0.07238187), ('Lithocharis', 0.118428506), ('Rugilus', 0.35286024)]"
images_genus/Paederidus/Paederidus ruficollis_40.jpg,Rugilus,"[('Bisnius', 0.0713901), ('Lithocharis', 0.12169973), ('Rugilus', 0.34185046)]"
images_genus/Paederidus/Paederidus ruficollis_41.jpg,Rugilus,"[('Bisnius', 0.07039705), ('Lithocharis', 0.124644056), ('Rugilus', 0.34176844)]"
images_genus/Paederidus/Paederidus ruficollis_42.jpg,Rugilus,"[('Bisnius', 0.069880754), ('Lithocharis', 0.12283678), ('Rugilus', 0.34630793)]"
images_genus/Paederidus/Paederidus ruficollis_43.jpg,Rugilus,"[('Bisnius', 0.07104772), ('Lithocharis', 0.1244752), ('Rugilus', 0.34833306)]"
images_genus/Paederidus/Paederidus ruficollis_44.jpg,Rugilus,"[('Bisnius', 0.071473874), ('Lithocharis', 0.12399993), ('Rugilus', 0.33709827)]"
images_genus/Paederidus/Paederidus ruficollis_45.jpg,Rugilus,"[('Bisnius', 0.07098007), ('Lithocharis', 0.12264369), ('Rugilus', 0.34739858)]"
images_genus/Paederidus/Paederidus ruficollis_46.jpg,Rugilus,"[('Bisnius', 0.06897674), ('Lithocharis', 0.12501074), ('Rugilus', 0.34715068)]"
images_genus/Paederidus/Paederidus ruficollis_47.jpg,Rugilus,"[('Bisnius', 0.07171377), ('Lithocharis', 0.1161042), ('Rugilus', 0.34927875)]"
images_genus/Paederidus/Paederidus ruficollis_48.jpg,Rugilus,"[('Bisnius', 0.07206486), ('Lithocharis', 0.12430088), ('Rugilus', 0.34312558)]"
images_genus/Paederidus/Paederidus ruficollis_49.jpg,Rugilus,"[('Bisnius', 0.069225915), ('Lithocharis', 0.122859135), ('Rugilus', 0.34672648)]"
images_genus/Paederidus/Paederidus ruficollis_50.jpg,Rugilus,"[('Bisnius', 0.07127864), ('Lithocharis', 0.12532267), ('Rugilus', 0.3317774)]"
images_genus/Paederidus/Paederidus ruficollis_51.jpg,Rugilus,"[('Bisnius', 0.07072383), ('Lithocharis', 0.12336157), ('Rugilus', 0.34801263)]"
images_genus/Paederidus/Paederidus ruficollis_52.jpg,Rugilus,"[('Bisnius', 0.07102878), ('Lithocharis', 0.12311469), ('Rugilus', 0.3457423)]"
images_genus/Paederidus/Paederidus ruficollis_53.jpg,Rugilus,"[('Bisnius', 0.071313456), ('Lithocharis', 0.12874155), ('Rugilus', 0.33392587)]"
images_genus/Paederidus/Paederidus ruficollis_54.jpg,Rugilus,"[('Bisnius', 0.069557115), ('Lithocharis', 0.12247999), ('Rugilus', 0.34333602)]"
images_genus/Paederidus/Paederidus ruficollis_55.jpg,Rugilus,"[('Bisnius', 0.07061279), ('Lithocharis', 0.12101064), ('Rugilus', 0.3476403)]"
images_genus/Paederidus/Paederidus ruficollis_56.jpg,Rugilus,"[('Bisnius', 0.071178325), ('Lithocharis', 0.12413039), ('Rugilus', 0.34176043)]"
images_genus/Paederidus/Paederidus ruficollis_57.jpg,Rugilus,"[('Bisnius', 0.07081172), ('Lithocharis', 0.12462032), ('Rugilus', 0.33575037)]"
images_genus/Paederidus/Paederidus ruficollis_58.jpg,Rugilus,"[('Bisnius', 0.070930324), ('Lithocharis', 0.12141227), ('Rugilus', 0.34548387)]"
images_genus/Paederidus/Paederidus ruficollis_59.jpg,Rugilus,"[('Bisnius', 0.071564294), ('Lithocharis', 0.122696854), ('Rugilus', 0.34895453)]"
images_genus/Paederidus/Paederidus ruficollis_60.jpg,Rugilus,"[('Bisnius', 0.07043814), ('Lithocharis', 0.12519097), ('Rugilus', 0.34359542)]"
images_genus/Paederidus/Paederidus ruficollis_61.jpg,Rugilus,"[('Bisnius', 0.07190255), ('Lithocharis', 0.12130013), ('Rugilus', 0.35218877)]"
images_genus/Paederidus/Paederidus ruficollis_62.jpg,Rugilus,"[('Bisnius', 0.07036136), ('Lithocharis', 0.12654312), ('Rugilus', 0.34461033)]"
images_genus/Paederidus/Paederidus ruficollis_63.jpg,Rugilus,"[('Bisnius', 0.072390795), ('Lithocharis', 0.12455195), ('Rugilus', 0.33231905)]"
images_genus/Paederidus/Paederidus ruficollis_64.jpg,Rugilus,"[('Bisnius', 0.069954924), ('Lithocharis', 0.12433817), ('Rugilus', 0.33994037)]"
images_genus/Paederidus/Paederidus ruficollis_65.jpg,Rugilus,"[('Bisnius', 0.0715491), ('Lithocharis', 0.12171855), ('Rugilus', 0.35144797)]"
images_genus/Paederidus/Paederidus ruficollis_66.jpg,Rugilus,"[('Bisnius', 0.070688166), ('Lithocharis', 0.12002626), ('Rugilus', 0.35526386)]"
images_genus/Paederidus/Paederidus ruficollis_67.jpg,Rugilus,"[('Bisnius', 0.07021624), ('Lithocharis', 0.12154063), ('Rugilus', 0.35747)]"
images_genus/Paederidus/Paederidus ruficollis_68.jpg,Rugilus,"[('Bisnius', 0.0711424), ('Lithocharis', 0.11919839), ('Rugilus', 0.3506711)]"
images_genus/Paederidus/Paederidus ruficollis_69.jpg,Rugilus,"[('Bisnius', 0.07316846), ('Lithocharis', 0.11544914), ('Rugilus', 0.3420066)]"
images_genus/Paederidus/Paederidus ruficollis_70.jpg,Rugilus,"[('Bisnius', 0.06999317), ('Lithocharis', 0.12874486), ('Rugilus', 0.33762157)]"
images_genus/Paederidus/Paederidus ruficollis_71.jpg,Rugilus,"[('Bisnius', 0.07085357), ('Lithocharis', 0.12183042), ('Rugilus', 0.3501929)]"
images_genus/Paederidus/Paederidus ruficollis_72.jpg,Rugilus,"[('Bisnius', 0.072324246), ('Lithocharis', 0.12172417), ('Rugilus', 0.34239742)]"
images_genus/Achenium/Achenium humile_10.jpg,Rugilus,"[('Bisnius', 0.0706122), ('Lithocharis', 0.12789647), ('Rugilus', 0.33815208)]"
images_genus/Achenium/Achenium humile_11.jpg,Rugilus,"[('Bisnius', 0.06972224), ('Lithocharis', 0.13040876), ('Rugilus', 0.33524194)]"
images_genus/Achenium/Achenium humile_4.jpg,Rugilus,"[('Bisnius', 0.070067264), ('Lithocharis', 0.12985846), ('Rugilus', 0.33352992)]"
images_genus/Achenium/Achenium humile_5.jpg,Rugilus,"[('Bisnius', 0.068975635), ('Lithocharis', 0.12985606), ('Rugilus', 0.33653083)]"
images_genus/Achenium/Achenium humile_6.jpg,Rugilus,"[('Bisnius', 0.06987496), ('Lithocharis', 0.12830123), ('Rugilus', 0.33811092)]"
images_genus/Achenium/Achenium humile_7.jpg,Rugilus,"[('Bisnius', 0.07053608), ('Lithocharis', 0.1283149), ('Rugilus', 0.33658487)]"
images_genus/Achenium/Achenium humile_8.jpg,Rugilus,"[('Bisnius', 0.07007695), ('Lithocharis', 0.13153014), ('Rugilus', 0.3284248)]"
images_genus/Achenium/Achenium humile_9.jpg,Rugilus,"[('Bisnius', 0.07097375), ('Lithocharis', 0.12527604), ('Rugilus', 0.34272474)]"
images_genus/Othius/Othius angustus_10.jpg,Rugilus,"[('Bisnius', 0.069323175), ('Lithocharis', 0.12962534), ('Rugilus', 0.32846528)]"
images_genus/Othius/Othius angustus_11.jpg,Rugilus,"[('Bisnius', 0.06809916), ('Lithocharis', 0.13191907), ('Rugilus', 0.33000454)]"
images_genus/Othius/Othius angustus_12.jpg,Rugilus,"[('Bisnius', 0.06854702), ('Lithocharis', 0.13099518), ('Rugilus', 0.33470514)]"
images_genus/Othius/Othius angustus_13.jpg,Rugilus,"[('Bisnius', 0.06883757), ('Lithocharis', 0.12844217), ('Rugilus', 0.33367345)]"
images_genus/Othius/Othius angustus_14.jpg,Rugilus,"[('Bisnius', 0.0680634), ('Lithocharis', 0.1299323), ('Rugilus', 0.3305223)]"
