,Filename,Prediction1,Prediction3
64,images_genus/Sunius/Sunius melanocephalus_28.jpg,Sunius,"[('Othius', 0.0124072675), ('Lithocharis', 0.0134385545), ('Sunius', 0.9502134)]"
65,images_genus/Sunius/Sunius melanocephalus_29.jpg,Sunius,"[('Lithocharis', 0.00047644952), ('Othius', 0.0015445505), ('Sunius', 0.9976502)]"
66,images_genus/Sunius/Sunius melanocephalus_30.jpg,Sunius,"[('Gabronthus', 0.0018050467), ('Lithocharis', 0.0021311925), ('Sunius', 0.9942676)]"
67,images_genus/Sunius/Sunius melanocephalus_31.jpg,Sunius,"[('Lithocharis', 0.00041069402), ('Othius', 0.0013039557), ('Sunius', 0.99794)]"
68,images_genus/Sunius/Sunius melanocephalus_32.jpg,Sunius,"[('Othius', 0.0036199968), ('Lithocharis', 0.0039688903), ('Sunius', 0.98995566)]"
69,images_genus/Sunius/Sunius melanocephalus_33.jpg,Sunius,"[('Othius', 0.020615473), ('Gabronthus', 0.029522179), ('Sunius', 0.9090437)]"
70,images_genus/Platydracus/Platydracus fulvipes_3.jpg,Platydracus,"[('Ocypus', 0.0009920594), ('Staphylinus', 0.0013112567), ('Platydracus', 0.99701655)]"
71,images_genus/Platydracus/Platydracus fulvipes_4.jpg,Platydracus,"[('Lathrobium', 5.64643e-05), ('Staphylinus', 0.000102655955), ('Platydracus', 0.9998173)]"
72,images_genus/Platydracus/Platydracus fulvipes_5.jpg,Platydracus,"[('Creophilus', 0.00060493464), ('Ontholestes', 0.00084769214), ('Platydracus', 0.99793005)]"
73,images_genus/Platydracus/Platydracus fulvipes_6.jpg,Platydracus,"[('Staphylinus', 0.0015720697), ('Ocypus', 0.0037854179), ('Platydracus', 0.99392563)]"
74,images_genus/Platydracus/Platydracus fulvipes_7.jpg,Platydracus,"[('Staphylinus', 0.028991679), ('Ontholestes', 0.029018207), ('Platydracus', 0.90778077)]"
75,images_genus/Platydracus/Platydracus fulvipes_8.jpg,Platydracus,"[('Lathrobium', 0.0024071985), ('Ocypus', 0.008008772), ('Platydracus', 0.98670304)]"
76,images_genus/Platydracus/Platydracus fulvipes_9.jpg,Platydracus,"[('Lathrobium', 0.0075637517), ('Staphylinus', 0.008739911), ('Platydracus', 0.97315663)]"
77,images_genus/Platydracus/Platydracus latebricola_2.jpg,Platydracus,"[('Lathrobium', 5.0791456e-05), ('Staphylinus', 0.00011081673), ('Platydracus', 0.99978906)]"
78,images_genus/Platydracus/Platydracus latebricola_3.jpg,Platydracus,"[('Staphylinus', 0.00018926183), ('Lathrobium', 0.0034866713), ('Platydracus', 0.99578696)]"
79,images_genus/Platydracus/Platydracus latebricola_4.jpg,Platydracus,"[('Megalinus', 0.009854019), ('Staphylinus', 0.057816226), ('Platydracus', 0.9135481)]"
80,images_genus/Platydracus/Platydracus latebricola_5.jpg,Platydracus,"[('Lathrobium', 1.1614176e-05), ('Staphylinus', 0.0001882947), ('Platydracus', 0.9997836)]"
81,images_genus/Platydracus/Platydracus latebricola_6.jpg,Platydracus,"[('Quedius', 6.143762e-05), ('Staphylinus', 0.0056085372), ('Platydracus', 0.9940958)]"
82,images_genus/Platydracus/Platydracus stercorarius_10.jpg,Platydracus,"[('Lathrobium', 7.0966445e-05), ('Staphylinus', 0.0073525016), ('Platydracus', 0.992469)]"
83,images_genus/Platydracus/Platydracus stercorarius_11.jpg,Platydracus,"[('Creophilus', 5.7729525e-05), ('Staphylinus', 0.001186012), ('Platydracus', 0.9986972)]"
84,images_genus/Platydracus/Platydracus stercorarius_12.jpg,Platydracus,"[('Megalinus', 0.00022134921), ('Staphylinus', 0.120782346), ('Platydracus', 0.87826836)]"
85,images_genus/Platydracus/Platydracus stercorarius_13.jpg,Platydracus,"[('Creophilus', 1.537798e-05), ('Staphylinus', 0.00016115024), ('Platydracus', 0.9997968)]"
86,images_genus/Platydracus/Platydracus stercorarius_14.jpg,Platydracus,"[('Lathrobium', 3.976345e-05), ('Staphylinus', 0.00014804803), ('Platydracus', 0.99978286)]"
87,images_genus/Platydracus/Platydracus stercorarius_5.jpg,Platydracus,"[('Quedius', 0.00030268743), ('Staphylinus', 0.00065739616), ('Platydracus', 0.99889624)]"
88,images_genus/Platydracus/Platydracus stercorarius_6.jpg,Platydracus,"[('Lathrobium', 0.00020534419), ('Staphylinus', 0.0007445537), ('Platydracus', 0.9989485)]"
89,images_genus/Platydracus/Platydracus stercorarius_7.jpg,Platydracus,"[('Lathrobium', 2.1250624e-05), ('Staphylinus', 0.0011160701), ('Platydracus', 0.9988386)]"
90,images_genus/Platydracus/Platydracus stercorarius_8.jpg,Platydracus,"[('Lathrobium', 3.449245e-05), ('Staphylinus', 0.0005599812), ('Platydracus', 0.9993808)]"
91,images_genus/Platydracus/Platydracus stercorarius_9.jpg,Platydracus,"[('Creophilus', 0.0014662339), ('Staphylinus', 0.021684801), ('Platydracus', 0.9756309)]"
92,images_genus/Atrecus/Atrecus affinis_10.jpg,Atrecus,"[('Phacophallus', 3.4747627e-05), ('Nudobius', 5.2607287e-05), ('Atrecus', 0.999866)]"
93,images_genus/Atrecus/Atrecus affinis_11.jpg,Atrecus,"[('Phacophallus', 0.00012021347), ('Paederus', 0.00020553933), ('Atrecus', 0.9993278)]"
94,images_genus/Atrecus/Atrecus affinis_12.jpg,Atrecus,"[('Phacophallus', 1.0267426e-05), ('Lobrathium', 5.9589718e-05), ('Atrecus', 0.9999064)]"
95,images_genus/Atrecus/Atrecus affinis_4.jpg,Atrecus,"[('Nudobius', 1.4106993e-05), ('Lobrathium', 3.6222726e-05), ('Atrecus', 0.9999337)]"
96,images_genus/Atrecus/Atrecus affinis_5.jpg,Atrecus,"[('Achenium', 3.2799773e-05), ('Nudobius', 0.00014877485), ('Atrecus', 0.9997707)]"
97,images_genus/Atrecus/Atrecus affinis_6.jpg,Atrecus,"[('Achenium', 0.00013395134), ('Lobrathium', 0.00016851247), ('Atrecus', 0.9996325)]"
98,images_genus/Atrecus/Atrecus affinis_7.jpg,Atrecus,"[('Achenium', 0.00015323021), ('Lobrathium', 0.0002071094), ('Atrecus', 0.99907935)]"
99,images_genus/Atrecus/Atrecus affinis_8.jpg,Atrecus,"[('Lobrathium', 0.00073540735), ('Xantholinus', 0.0007680867), ('Atrecus', 0.99835485)]"
100,images_genus/Atrecus/Atrecus affinis_9.jpg,Atrecus,"[('Othius', 0.00090986834), ('Achenium', 0.0032682994), ('Atrecus', 0.9944693)]"
101,images_genus/Atrecus/Atrecus longiceps_2.jpg,Atrecus,"[('Achenium', 0.0004533377), ('Lobrathium', 0.00069943984), ('Atrecus', 0.9985228)]"
102,images_genus/Atrecus/Atrecus longiceps_3.jpg,Atrecus,"[('Achenium', 1.678898e-05), ('Lobrathium', 2.1280981e-05), ('Atrecus', 0.9999441)]"
103,images_genus/Atrecus/Atrecus longiceps_4.jpg,Atrecus,"[('Achenium', 8.40067e-05), ('Lobrathium', 0.00081815023), ('Atrecus', 0.9989506)]"
104,images_genus/Atrecus/Atrecus longiceps_5.jpg,Atrecus,"[('Achenium', 0.00015124852), ('Lobrathium', 0.0006064011), ('Atrecus', 0.99895406)]"
105,images_genus/Atrecus/Atrecus longiceps_6.jpg,Atrecus,"[('Lobrathium', 0.00010419161), ('Gyrohypnus', 0.00012371974), ('Atrecus', 0.99961495)]"
106,images_genus/Paederidus/Paederidus ruficollis_24.jpg,Paederidus,"[('Bisnius', 0.0006298949), ('Paederus', 0.00330456), ('Paederidus', 0.994145)]"
107,images_genus/Paederidus/Paederidus ruficollis_25.jpg,Paederidus,"[('Philonthus', 0.0009813507), ('Paederus', 0.0021081266), ('Paederidus', 0.9957098)]"
108,images_genus/Paederidus/Paederidus ruficollis_26.jpg,Paederidus,"[('Paederus', 0.0019805697), ('Philonthus', 0.0039003708), ('Paederidus', 0.992035)]"
109,images_genus/Paederidus/Paederidus ruficollis_27.jpg,Paederidus,"[('Lathrobium', 0.0008605783), ('Paederus', 0.0022437403), ('Paederidus', 0.9936538)]"
110,images_genus/Paederidus/Paederidus ruficollis_28.jpg,Paederidus,"[('Gauropterus', 0.00041756255), ('Paederus', 0.0025979532), ('Paederidus', 0.99614054)]"
111,images_genus/Paederidus/Paederidus ruficollis_29.jpg,Paederidus,"[('Gauropterus', 0.03751535), ('Paederus', 0.04341262), ('Paederidus', 0.91205615)]"
112,images_genus/Paederidus/Paederidus ruficollis_30.jpg,Paederidus,"[('Euryporus', 0.0007130234), ('Paederus', 0.0026164472), ('Paederidus', 0.9935959)]"
113,images_genus/Paederidus/Paederidus ruficollis_31.jpg,Paederidus,"[('Philonthus', 0.0003052772), ('Paederus', 0.0021071553), ('Paederidus', 0.99731183)]"
114,images_genus/Paederidus/Paederidus ruficollis_32.jpg,Paederidus,"[('Paederus', 0.00013152971), ('Philonthus', 0.0002773575), ('Paederidus', 0.99918157)]"
115,images_genus/Paederidus/Paederidus ruficollis_33.jpg,Paederidus,"[('Rugilus', 0.005996571), ('Paederus', 0.011404295), ('Paederidus', 0.9774171)]"
116,images_genus/Paederidus/Paederidus ruficollis_34.jpg,Paederidus,"[('Paederus', 0.012131767), ('Gauropterus', 0.013446141), ('Paederidus', 0.96894383)]"
117,images_genus/Paederidus/Paederidus ruficollis_35.jpg,Paederidus,"[('Gauropterus', 0.0004875499), ('Philonthus', 0.00203477), ('Paederidus', 0.9966989)]"
118,images_genus/Paederidus/Paederidus ruficollis_36.jpg,Paederidus,"[('Tetartopeus', 0.0012039446), ('Paederus', 0.0014227834), ('Paederidus', 0.9931375)]"
119,images_genus/Paederidus/Paederidus ruficollis_37.jpg,Paederidus,"[('Megalinus', 0.00020736923), ('Tetartopeus', 0.0015856765), ('Paederidus', 0.99734265)]"
120,images_genus/Paederidus/Paederidus ruficollis_38.jpg,Paederidus,"[('Cafius', 2.7868342e-05), ('Paederus', 0.00021090858), ('Paederidus', 0.99971277)]"
121,images_genus/Paederidus/Paederidus ruficollis_39.jpg,Paederidus,"[('Gauropterus', 6.116441e-05), ('Paederus', 0.0010531667), ('Paederidus', 0.99878997)]"
122,images_genus/Paederidus/Paederidus ruficollis_40.jpg,Paederidus,"[('Gauropterus', 0.00016627728), ('Paederus', 0.0020787716), ('Paederidus', 0.9973533)]"
123,images_genus/Paederidus/Paederidus ruficollis_41.jpg,Paederidus,"[('Lathrobium', 0.0037296978), ('Paederus', 0.3268297), ('Paederidus', 0.66396666)]"
124,images_genus/Paederidus/Paederidus ruficollis_42.jpg,Paederidus,"[('Gauropterus', 0.0011011453), ('Paederus', 0.008448413), ('Paederidus', 0.9888755)]"
125,images_genus/Paederidus/Paederidus ruficollis_43.jpg,Paederidus,"[('Paederus', 0.001770774), ('Philonthus', 0.0023163427), ('Paederidus', 0.99371934)]"
126,images_genus/Paederidus/Paederidus ruficollis_44.jpg,Paederidus,"[('Gauropterus', 5.217367e-05), ('Paederus', 0.0008786043), ('Paederidus', 0.99899036)]"
127,images_genus/Paederidus/Paederidus ruficollis_45.jpg,Paederidus,"[('Paederus', 0.00015729401), ('Gauropterus', 0.00019702427), ('Paederidus', 0.9994375)]"
128,images_genus/Paederidus/Paederidus ruficollis_46.jpg,Paederidus,"[('Rugilus', 0.00097183883), ('Philonthus', 0.003350504), ('Paederidus', 0.9922948)]"
129,images_genus/Paederidus/Paederidus ruficollis_47.jpg,Paederidus,"[('Gauropterus', 0.004255913), ('Paederus', 0.111101314), ('Paederidus', 0.87957674)]"
130,images_genus/Paederidus/Paederidus ruficollis_48.jpg,Paederidus,"[('Gauropterus', 0.0014703122), ('Euryporus', 0.0015572952), ('Paederidus', 0.99246615)]"
131,images_genus/Paederidus/Paederidus ruficollis_49.jpg,Paederidus,"[('Gauropterus', 0.0007466255), ('Paederus', 0.0035693452), ('Paederidus', 0.99404365)]"
132,images_genus/Paederidus/Paederidus ruficollis_50.jpg,Paederidus,"[('Rugilus', 0.0005053257), ('Paederus', 0.0014697748), ('Paederidus', 0.9969361)]"
133,images_genus/Paederidus/Paederidus ruficollis_51.jpg,Paederidus,"[('Cafius', 0.00020353582), ('Paederus', 0.0033264263), ('Paederidus', 0.99604875)]"
134,images_genus/Paederidus/Paederidus ruficollis_52.jpg,Paederidus,"[('Gauropterus', 0.00023599614), ('Paederus', 0.0014155954), ('Paederidus', 0.9979697)]"
135,images_genus/Paederidus/Paederidus ruficollis_53.jpg,Paederidus,"[('Euryporus', 0.0002053213), ('Philonthus', 0.00033954915), ('Paederidus', 0.99875236)]"
136,images_genus/Paederidus/Paederidus ruficollis_54.jpg,Paederidus,"[('Gauropterus', 0.0032667594), ('Paederus', 0.034586236), ('Paederidus', 0.9464247)]"
137,images_genus/Paederidus/Paederidus ruficollis_55.jpg,Paederidus,"[('Paederus', 0.0011336241), ('Euryporus', 0.0013519346), ('Paederidus', 0.99427646)]"
138,images_genus/Paederidus/Paederidus ruficollis_56.jpg,Paederidus,"[('Rugilus', 0.0025475433), ('Philonthus', 0.046544157), ('Paederidus', 0.94120246)]"
139,images_genus/Paederidus/Paederidus ruficollis_57.jpg,Paederidus,"[('Gauropterus', 0.0020616695), ('Paederus', 0.008347863), ('Paederidus', 0.98717135)]"
140,images_genus/Paederidus/Paederidus ruficollis_58.jpg,Paederidus,"[('Euryporus', 0.0016587359), ('Philonthus', 0.003034217), ('Paederidus', 0.99082)]"
141,images_genus/Paederidus/Paederidus ruficollis_59.jpg,Paederidus,"[('Cafius', 0.00017733558), ('Paederus', 0.0013033501), ('Paederidus', 0.99819607)]"
142,images_genus/Paederidus/Paederidus ruficollis_60.jpg,Paederidus,"[('Euryporus', 0.015476071), ('Philonthus', 0.30161196), ('Paederidus', 0.6580041)]"
143,images_genus/Paederidus/Paederidus ruficollis_61.jpg,Paederidus,"[('Philonthus', 0.00089351146), ('Paederus', 0.0063055675), ('Paederidus', 0.9898863)]"
144,images_genus/Paederidus/Paederidus ruficollis_62.jpg,Paederidus,"[('Megalinus', 0.002070307), ('Paederus', 0.007427182), ('Paederidus', 0.9827733)]"
145,images_genus/Paederidus/Paederidus ruficollis_63.jpg,Paederidus,"[('Rugilus', 5.6562323e-05), ('Paederus', 0.00068939314), ('Paederidus', 0.99919647)]"
146,images_genus/Paederidus/Paederidus ruficollis_64.jpg,Paederidus,"[('Rugilus', 7.3344636e-05), ('Tetartopeus', 0.00014337467), ('Paederidus', 0.9994553)]"
147,images_genus/Paederidus/Paederidus ruficollis_65.jpg,Paederidus,"[('Gauropterus', 0.000112358015), ('Paederus', 0.005164726), ('Paederidus', 0.99434584)]"
148,images_genus/Paederidus/Paederidus ruficollis_66.jpg,Paederidus,"[('Paederus', 0.010343934), ('Tetartopeus', 0.042319123), ('Paederidus', 0.918927)]"
149,images_genus/Paederidus/Paederidus ruficollis_67.jpg,Paederidus,"[('Gauropterus', 0.00040734446), ('Paederus', 0.00062602863), ('Paederidus', 0.9982083)]"
150,images_genus/Paederidus/Paederidus ruficollis_68.jpg,Paederidus,"[('Philonthus', 0.0013072107), ('Paederus', 0.0071617626), ('Paederidus', 0.9890224)]"
151,images_genus/Paederidus/Paederidus ruficollis_69.jpg,Paederidus,"[('Gauropterus', 0.0012819332), ('Paederus', 0.0022697467), ('Paederidus', 0.99391276)]"
152,images_genus/Paederidus/Paederidus ruficollis_70.jpg,Paederidus,"[('Rugilus', 9.561657e-06), ('Paederus', 0.00036507615), ('Paederidus', 0.99958163)]"
153,images_genus/Paederidus/Paederidus ruficollis_71.jpg,Paederidus,"[('Cafius', 7.5126845e-05), ('Paederus', 0.0030732583), ('Paederidus', 0.9967205)]"
154,images_genus/Paederidus/Paederidus ruficollis_72.jpg,Paederidus,"[('Philonthus', 0.0011433588), ('Paederus', 0.002071964), ('Paederidus', 0.99590343)]"
155,images_genus/Achenium/Achenium humile_10.jpg,Achenium,"[('Lathrobium', 0.0007088213), ('Atrecus', 0.0013947313), ('Achenium', 0.99720275)]"
156,images_genus/Achenium/Achenium humile_11.jpg,Achenium,"[('Atrecus', 0.0041958364), ('Lobrathium', 0.006683384), ('Achenium', 0.98477834)]"
157,images_genus/Achenium/Achenium humile_4.jpg,Achenium,"[('Atrecus', 0.00061038765), ('Nudobius', 0.0007963465), ('Achenium', 0.9974693)]"
158,images_genus/Achenium/Achenium humile_5.jpg,Achenium,"[('Atrecus', 0.003547113), ('Lathrobium', 0.023451876), ('Achenium', 0.9671727)]"
159,images_genus/Achenium/Achenium humile_6.jpg,Achenium,"[('Nudobius', 0.003097252), ('Lathrobium', 0.013492903), ('Achenium', 0.9750761)]"
160,images_genus/Achenium/Achenium humile_7.jpg,Achenium,"[('Atrecus', 0.0030443443), ('Lathrobium', 0.027086658), ('Achenium', 0.96671414)]"
161,images_genus/Achenium/Achenium humile_8.jpg,Achenium,"[('Lathrobium', 0.003001539), ('Nudobius', 0.0034111897), ('Achenium', 0.98769706)]"
162,images_genus/Achenium/Achenium humile_9.jpg,Achenium,"[('Atrecus', 0.014890395), ('Lathrobium', 0.06996725), ('Achenium', 0.8999151)]"
