predicted_genus,real_genus,filepath,correct_prediction,real_species
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_88.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_121.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_10.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_68.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_19.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_111.jpg,True,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_55.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_6.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_132.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_114.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_54.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_141.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_2.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_144.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_96.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_150.jpg,True,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_75.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_110.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_137.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_32.jpg,True,Lathrobium longulum
Astenus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_18.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_51.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_8.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_46.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_66.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_130.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_102.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_63.jpg,True,Lathrobium longulum
Astenus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_48.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_23.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_140.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_9.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_91.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_86.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_17.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_40.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_134.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_50.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_73.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_77.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_29.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_131.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_175.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_0.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_127.jpg,True,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_13.jpg,False,Lathrobium longulum
Astenus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_16.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_174.jpg,True,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_78.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_31.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_117.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_147.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_151.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_182.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_170.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_135.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_173.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_119.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_171.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_59.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_7.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_183.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_67.jpg,True,Lathrobium longulum
Astenus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_93.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_116.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_186.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_35.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_172.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_107.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_81.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_179.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_115.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_94.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_27.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_105.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_145.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_118.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_14.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_126.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_157.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_128.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_100.jpg,True,Lathrobium longulum
Astenus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_56.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_30.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_159.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_120.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_21.jpg,True,Lathrobium longulum
Astenus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_156.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_178.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_181.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_47.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_52.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_85.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_76.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_69.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_5.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_129.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_165.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_142.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_11.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_34.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_123.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_146.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_113.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_138.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_180.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_139.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_42.jpg,True,Lathrobium longulum
Lobrathium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_82.jpg,False,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_20.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_70.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_64.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_26.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_168.jpg,True,Lathrobium longulum
Astenus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_95.jpg,False,Lathrobium longulum
Astenus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_72.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_65.jpg,True,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_12.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_176.jpg,True,Lathrobium longulum
Astenus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_160.jpg,False,Lathrobium longulum
Lobrathium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_36.jpg,False,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_28.jpg,False,Lathrobium longulum
Astenus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_53.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_184.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_99.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_60.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_61.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_161.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_15.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_167.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_41.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_4.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_84.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_155.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_79.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_185.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_80.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_148.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_162.jpg,True,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_149.jpg,False,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_163.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_74.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_45.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_71.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_104.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_169.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_33.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_108.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_97.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_124.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_154.jpg,True,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_3.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_98.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_125.jpg,True,Lathrobium longulum
Astenus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_153.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_158.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_22.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_38.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_109.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_122.jpg,True,Lathrobium longulum
Astenus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_89.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_177.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_103.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_62.jpg,True,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_1.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_143.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_37.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_136.jpg,True,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_166.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_92.jpg,True,Lathrobium longulum
Astenus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_58.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium pallidipenne/Lathrobium pallidipenne_2.jpg,True,Lathrobium pallidipenne
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium pallidipenne/Lathrobium pallidipenne_0.jpg,True,Lathrobium pallidipenne
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium pallidipenne/Lathrobium pallidipenne_1.jpg,True,Lathrobium pallidipenne
Neobisnius,Neobisnius,../../../images/cutout_species/Neobisnius procerulus/Neobisnius procerulus_0.jpg,True,Neobisnius procerulus
Neobisnius,Neobisnius,../../../images/cutout_species/Neobisnius procerulus/Neobisnius procerulus_1.jpg,True,Neobisnius procerulus
Bisnius,Neobisnius,../../../images/cutout_species/Neobisnius procerulus/Neobisnius procerulus_3.jpg,False,Neobisnius procerulus
Neobisnius,Neobisnius,../../../images/cutout_species/Neobisnius procerulus/Neobisnius procerulus_4.jpg,True,Neobisnius procerulus
Bisnius,Neobisnius,../../../images/cutout_species/Neobisnius procerulus/Neobisnius procerulus_5.jpg,False,Neobisnius procerulus
Neobisnius,Neobisnius,../../../images/cutout_species/Neobisnius procerulus/Neobisnius procerulus_2.jpg,True,Neobisnius procerulus
Philonthus,Philonthus,../../../images/cutout_species/Philonthus pseudovarians/Philonthus pseudovarians_0.jpg,True,Philonthus pseudovarians
Philonthus,Philonthus,../../../images/cutout_species/Philonthus pseudovarians/Philonthus pseudovarians_1.jpg,True,Philonthus pseudovarians
Philonthus,Philonthus,../../../images/cutout_species/Philonthus spinipes/Philonthus spinipes_3.jpg,True,Philonthus spinipes
Philonthus,Philonthus,../../../images/cutout_species/Philonthus spinipes/Philonthus spinipes_4.jpg,True,Philonthus spinipes
Philonthus,Philonthus,../../../images/cutout_species/Philonthus spinipes/Philonthus spinipes_1.jpg,True,Philonthus spinipes
