class,f1_score,precision,recall,support
Tasgius ater,1.0,1.0,1.0,3.0
Leptacinus batychrus,0.62,1.0,0.45,11.0
Gabrius austriacus,0.5,1.0,0.33,3.0
Philonthus decorus,1.0,1.0,1.0,22.0
Quedius fumatus,0.86,1.0,0.75,8.0
Xantholinus linearis,0.73,0.8,0.67,6.0
Philonthus atratus,1.0,1.0,1.0,17.0
Phacophallus parumpunctatus,0.86,0.75,1.0,3.0
Gabrius exiguus,0.0,0.0,0.0,1.0
Remus sericeus,1.0,1.0,1.0,12.0
Platydracus stercorarius,1.0,1.0,1.0,5.0
Emus hirtus,1.0,1.0,1.0,2.0
Philonthus sanguinolentus,1.0,1.0,1.0,8.0
Neobisnius villosulus,1.0,1.0,1.0,3.0
Gabronthus thermarum,1.0,1.0,1.0,2.0
Quedius fulgidus,1.0,1.0,1.0,2.0
Philonthus ebeninus,0.67,0.67,0.67,3.0
Bisnius puella,1.0,1.0,1.0,3.0
Quedius lucidulus,1.0,1.0,1.0,8.0
Othius subuliformis,0.67,0.57,0.8,5.0
Philonthus laminatus,0.97,1.0,0.94,17.0
Quedius umbrinus,0.86,0.82,0.9,10.0
Ochthephilum collare,1.0,1.0,1.0,1.0
Ocypus fuscatus,0.0,0.0,0.0,4.0
Leptacinus pusillus,0.57,0.5,0.67,3.0
Lathrobium fovulum,0.96,1.0,0.93,14.0
Quedius brevis,1.0,1.0,1.0,4.0
Paederus littoralis,1.0,1.0,1.0,19.0
Achenium humile,1.0,1.0,1.0,4.0
Paederus fuscipes,1.0,1.0,1.0,14.0
Quedius truncicola,1.0,1.0,1.0,2.0
Quedius puncticollis,0.89,0.8,1.0,8.0
Quedius microps,0.95,0.91,1.0,10.0
Quedius longicornis,1.0,1.0,1.0,7.0
Quedius simplicifrons,0.75,0.6,1.0,3.0
Astenus pulchellus,0.89,0.8,1.0,12.0
Quedius mesomelinus,0.92,1.0,0.86,7.0
Dinothenarus pubescens,0.86,1.0,0.75,4.0
Xantholinus tricolor,0.93,0.88,1.0,7.0
Philonthus cognatus,1.0,1.0,1.0,35.0
Rugilus orbiculatus,0.95,0.91,1.0,29.0
Erichsonius cinerascens,0.97,0.95,1.0,18.0
Medon castaneus,1.0,1.0,1.0,4.0
Gabrius splendidulus,0.9,0.82,1.0,9.0
Platydracus latebricola,1.0,1.0,1.0,2.0
Rugilus rufipes,1.0,1.0,1.0,24.0
Creophilus maxillosus,1.0,1.0,1.0,4.0
Lathrobium elongatum,0.88,1.0,0.79,24.0
Philonthus micantoides,0.44,0.29,1.0,2.0
Xantholinus longiventris,0.73,0.67,0.8,5.0
Lathrobium pallidum,1.0,1.0,1.0,4.0
Sunius melanocephalus,0.9,1.0,0.82,11.0
Quedius molochinus,0.92,1.0,0.86,7.0
Gabrius trossulus,0.5,0.36,0.8,5.0
Heterothops dissimilis,0.8,1.0,0.67,3.0
Philonthus intermedius,1.0,1.0,1.0,7.0
Philonthus alpinus,0.33,0.25,0.5,2.0
Quedius picipes,1.0,1.0,1.0,6.0
Lathrobium impressum,1.0,1.0,1.0,27.0
Philonthus discoideus,1.0,1.0,1.0,10.0
Quedius nigriceps,1.0,1.0,1.0,4.0
Atrecus longiceps,1.0,1.0,1.0,2.0
Quedius curtipennis,0.5,1.0,0.33,3.0
Bisnius fimetarius,0.98,1.0,0.97,30.0
Lathrobium dilutum,1.0,1.0,1.0,1.0
micro avg,0.91,0.91,0.91,1644.0
