,Filename,Label,Prediction1,Prediction3a,Prediction3a_prob,Prediction3b,Prediction3b_prob,Prediction3c,Prediction3c_prob
23,images_species/Philonthus tenuicornis/Philonthus tenuicornis_87.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus addendus,6.333169e-05,Ocypus aeneocephalus,0.001545508,Heterothops quadripunctulus,0.99830484
24,images_species/Philonthus tenuicornis/Philonthus tenuicornis_90.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Ocypus aeneocephalus,6.4449625e-07,Philonthus mannerheimi,6.754604e-07,Heterothops quadripunctulus,0.9999982
25,images_species/Philonthus tenuicornis/Philonthus tenuicornis_93.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Paederidus ruficollis,9.761756e-08,Philonthus mannerheimi,1.6863167e-07,Heterothops quadripunctulus,0.99999964
26,images_species/Philonthus tenuicornis/Philonthus tenuicornis_98.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus addendus,8.6581286e-07,Quedius fuliginosus,3.4760271e-06,Heterothops quadripunctulus,0.9999939
27,images_species/Paederidus ruficollis/Paederidus ruficollis_100.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius semiaeneus,2.5588625e-08,Tetartopeus terminatus,7.249771e-07,Xantholinus dvoraki,0.9999993
28,images_species/Paederidus ruficollis/Paederidus ruficollis_108.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,2.6623226e-08,Tetartopeus terminatus,3.0480135e-06,Xantholinus dvoraki,0.9999969
29,images_species/Paederidus ruficollis/Paederidus ruficollis_110.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,2.550225e-07,Tetartopeus terminatus,2.0045115e-06,Xantholinus dvoraki,0.9999975
30,images_species/Paederidus ruficollis/Paederidus ruficollis_121.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,4.9832767e-08,Tetartopeus terminatus,1.3874274e-05,Xantholinus dvoraki,0.99998593
31,images_species/Paederidus ruficollis/Paederidus ruficollis_126.jpg,Paederidus ruficollis,Xantholinus dvoraki,Bisnius subuliformis,2.1104029e-06,Tetartopeus terminatus,0.0001153083,Xantholinus dvoraki,0.9998765
32,images_species/Paederidus ruficollis/Paederidus ruficollis_134.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius semiaeneus,3.0592873e-09,Tetartopeus terminatus,3.0729694e-07,Xantholinus dvoraki,0.99999964
33,images_species/Paederidus ruficollis/Paederidus ruficollis_138.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,1.0511657e-08,Tetartopeus terminatus,1.9584909e-06,Xantholinus dvoraki,0.9999981
34,images_species/Paederidus ruficollis/Paederidus ruficollis_142.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius suturalis,7.978366e-07,Tetartopeus terminatus,1.5230137e-06,Xantholinus dvoraki,0.999995
35,images_species/Paederidus ruficollis/Paederidus ruficollis_150.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius semiaeneus,1.1051801e-08,Tetartopeus terminatus,1.2746206e-06,Xantholinus dvoraki,0.9999987
36,images_species/Paederidus ruficollis/Paederidus ruficollis_153.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius suturalis,3.5883836e-08,Tetartopeus terminatus,2.829511e-07,Xantholinus dvoraki,0.99999976
37,images_species/Paederidus ruficollis/Paederidus ruficollis_158.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius suturalis,2.382745e-08,Tetartopeus terminatus,2.0143248e-07,Xantholinus dvoraki,0.99999976
38,images_species/Paederidus ruficollis/Paederidus ruficollis_165.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,1.2557155e-10,Tetartopeus terminatus,1.3663422e-08,Xantholinus dvoraki,1.0
39,images_species/Paederidus ruficollis/Paederidus ruficollis_179.jpg,Paederidus ruficollis,Xantholinus dvoraki,Heterothops quadripunctulus,2.6580673e-07,Tetartopeus terminatus,1.3840267e-05,Xantholinus dvoraki,0.9999856
40,images_species/Paederidus ruficollis/Paederidus ruficollis_181.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius suturalis,3.3981754e-10,Tetartopeus terminatus,2.8386673e-08,Xantholinus dvoraki,1.0
41,images_species/Paederidus ruficollis/Paederidus ruficollis_189.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius suturalis,2.8315174e-08,Tetartopeus terminatus,3.284651e-07,Xantholinus dvoraki,0.99999964
42,images_species/Paederidus ruficollis/Paederidus ruficollis_199.jpg,Paederidus ruficollis,Xantholinus dvoraki,Philonthus addendus,5.307533e-10,Tetartopeus terminatus,5.6266163e-08,Xantholinus dvoraki,1.0
43,images_species/Paederidus ruficollis/Paederidus ruficollis_207.jpg,Paederidus ruficollis,Xantholinus dvoraki,Philonthus rectangulus,4.1347694e-09,Tetartopeus terminatus,1.1542825e-06,Xantholinus dvoraki,0.9999988
44,images_species/Paederidus ruficollis/Paederidus ruficollis_211.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius semiaeneus,1.4520786e-08,Tetartopeus terminatus,9.3692023e-07,Xantholinus dvoraki,0.99999905
45,images_species/Paederidus ruficollis/Paederidus ruficollis_218.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius suturalis,5.204725e-07,Tetartopeus terminatus,6.5054073e-06,Xantholinus dvoraki,0.9999924
46,images_species/Paederidus ruficollis/Paederidus ruficollis_220.jpg,Paederidus ruficollis,Xantholinus dvoraki,Heterothops quadripunctulus,9.843506e-09,Tetartopeus terminatus,2.925912e-06,Xantholinus dvoraki,0.999997
47,images_species/Paederidus ruficollis/Paederidus ruficollis_224.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius suturalis,2.952272e-10,Tetartopeus terminatus,4.5308894e-07,Xantholinus dvoraki,0.9999995
48,images_species/Paederidus ruficollis/Paederidus ruficollis_227.jpg,Paederidus ruficollis,Xantholinus dvoraki,Heterothops quadripunctulus,4.7314933e-07,Tetartopeus terminatus,4.6000958e-05,Xantholinus dvoraki,0.9999528
49,images_species/Paederidus ruficollis/Paederidus ruficollis_228.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius semiaeneus,2.892267e-06,Tetartopeus terminatus,0.00012036647,Xantholinus dvoraki,0.99987566
50,images_species/Paederidus ruficollis/Paederidus ruficollis_229.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,2.965101e-07,Tetartopeus terminatus,1.1203818e-05,Xantholinus dvoraki,0.9999883
51,images_species/Paederidus ruficollis/Paederidus ruficollis_232.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,1.5665226e-08,Tetartopeus terminatus,1.5681387e-06,Xantholinus dvoraki,0.99999845
52,images_species/Paederidus ruficollis/Paederidus ruficollis_235.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,1.0197112e-07,Tetartopeus terminatus,2.33031e-05,Xantholinus dvoraki,0.9999765
53,images_species/Paederidus ruficollis/Paederidus ruficollis_237.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius suturalis,7.368922e-09,Tetartopeus terminatus,2.1025936e-07,Xantholinus dvoraki,0.99999976
54,images_species/Paederidus ruficollis/Paederidus ruficollis_238.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,3.7535262e-08,Tetartopeus terminatus,4.241526e-05,Xantholinus dvoraki,0.99995744
55,images_species/Paederidus ruficollis/Paederidus ruficollis_242.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius semiaeneus,1.947768e-06,Tetartopeus terminatus,6.3816083e-06,Xantholinus dvoraki,0.9999906
56,images_species/Paederidus ruficollis/Paederidus ruficollis_245.jpg,Paederidus ruficollis,Xantholinus dvoraki,Bisnius subuliformis,1.1140136e-07,Tetartopeus terminatus,3.6723802e-06,Xantholinus dvoraki,0.99999607
57,images_species/Paederidus ruficollis/Paederidus ruficollis_25.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,3.7032216e-08,Tetartopeus terminatus,1.9811438e-05,Xantholinus dvoraki,0.9999802
58,images_species/Paederidus ruficollis/Paederidus ruficollis_27.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,1.3732841e-08,Tetartopeus terminatus,5.871482e-06,Xantholinus dvoraki,0.99999416
59,images_species/Paederidus ruficollis/Paederidus ruficollis_39.jpg,Paederidus ruficollis,Xantholinus dvoraki,Philonthus cruentatus,6.9434634e-08,Tetartopeus terminatus,9.750554e-06,Xantholinus dvoraki,0.9999901
60,images_species/Paederidus ruficollis/Paederidus ruficollis_41.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,4.4626344e-08,Tetartopeus terminatus,2.9658817e-05,Xantholinus dvoraki,0.9999701
61,images_species/Paederidus ruficollis/Paederidus ruficollis_49.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,1.5709125e-08,Tetartopeus terminatus,1.6578882e-05,Xantholinus dvoraki,0.99998343
62,images_species/Paederidus ruficollis/Paederidus ruficollis_51.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,8.088695e-09,Tetartopeus terminatus,1.2032081e-06,Xantholinus dvoraki,0.9999988
63,images_species/Paederidus ruficollis/Paederidus ruficollis_52.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius semiaeneus,2.7705815e-07,Tetartopeus terminatus,1.040392e-05,Xantholinus dvoraki,0.9999893
64,images_species/Paederidus ruficollis/Paederidus ruficollis_59.jpg,Paederidus ruficollis,Xantholinus dvoraki,Ocypus ophthalmicus,4.890924e-10,Tetartopeus terminatus,8.261357e-07,Xantholinus dvoraki,0.99999917
65,images_species/Paederidus ruficollis/Paederidus ruficollis_64.jpg,Paederidus ruficollis,Xantholinus dvoraki,Philonthus tenuicornis,6.9264473e-07,Tetartopeus terminatus,9.559423e-06,Xantholinus dvoraki,0.9999888
66,images_species/Paederidus ruficollis/Paederidus ruficollis_69.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,8.346033e-07,Tetartopeus terminatus,1.8195726e-05,Xantholinus dvoraki,0.9999809
67,images_species/Paederidus ruficollis/Paederidus ruficollis_72.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,1.9084739e-07,Tetartopeus terminatus,2.974274e-05,Xantholinus dvoraki,0.99996996
68,images_species/Paederidus ruficollis/Paederidus ruficollis_76.jpg,Paederidus ruficollis,Xantholinus dvoraki,Ocypus ophthalmicus,1.0905391e-07,Tetartopeus terminatus,1.6143204e-06,Xantholinus dvoraki,0.9999981
69,images_species/Paederidus ruficollis/Paederidus ruficollis_83.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,1.469772e-06,Tetartopeus terminatus,6.642429e-06,Xantholinus dvoraki,0.9999919
70,images_species/Paederidus ruficollis/Paederidus ruficollis_87.jpg,Paederidus ruficollis,Xantholinus dvoraki,Quedius semiaeneus,3.5490515e-09,Tetartopeus terminatus,4.3885876e-07,Xantholinus dvoraki,0.9999995
71,images_species/Paederidus ruficollis/Paederidus ruficollis_93.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,2.1567711e-08,Tetartopeus terminatus,7.043693e-06,Xantholinus dvoraki,0.99999297
72,images_species/Paederidus ruficollis/Paederidus ruficollis_94.jpg,Paederidus ruficollis,Xantholinus dvoraki,Heterothops quadripunctulus,6.355731e-06,Tetartopeus terminatus,2.5716297e-05,Xantholinus dvoraki,0.9999528
73,images_species/Paederidus ruficollis/Paederidus ruficollis_97.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,3.6013168e-09,Tetartopeus terminatus,1.1588367e-06,Xantholinus dvoraki,0.9999988
74,images_species/Paederidus ruficollis/Paederidus ruficollis_99.jpg,Paederidus ruficollis,Xantholinus dvoraki,Platydracus fulvipes,1.9358549e-08,Tetartopeus terminatus,3.6985837e-06,Xantholinus dvoraki,0.9999963
75,images_species/Philonthus splendens/Philonthus splendens_101.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,0.0010431014,Philonthus tenuicornis,0.007135885,Heterothops quadripunctulus,0.99121195
76,images_species/Philonthus splendens/Philonthus splendens_102.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus mannerheimi,0.0016393841,Philonthus tenuicornis,0.001714021,Heterothops quadripunctulus,0.9966215
77,images_species/Philonthus splendens/Philonthus splendens_103.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus tenuicornis,7.1328024e-05,Paederidus ruficollis,0.0017473486,Heterothops quadripunctulus,0.9981653
78,images_species/Philonthus splendens/Philonthus splendens_110.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus mannerheimi,0.00015572202,Philonthus tenuicornis,0.00022411015,Heterothops quadripunctulus,0.9994879
79,images_species/Philonthus splendens/Philonthus splendens_112.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,1.3245603e-05,Philonthus tenuicornis,3.8306996e-05,Heterothops quadripunctulus,0.999938
80,images_species/Philonthus splendens/Philonthus splendens_113.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus tenuicornis,4.6995683e-06,Paederidus ruficollis,8.0025175e-06,Heterothops quadripunctulus,0.9999864
81,images_species/Philonthus splendens/Philonthus splendens_116.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus tenuicornis,0.0006448391,Philonthus mannerheimi,0.003609048,Heterothops quadripunctulus,0.9957255
82,images_species/Philonthus splendens/Philonthus splendens_118.jpg,Philonthus splendens,Heterothops quadripunctulus,Quedius scintillans,5.7831963e-05,Philonthus tenuicornis,0.00025732245,Heterothops quadripunctulus,0.9996043
83,images_species/Philonthus splendens/Philonthus splendens_126.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus mannerheimi,8.821595e-06,Philonthus tenuicornis,1.3856244e-05,Heterothops quadripunctulus,0.9999672
84,images_species/Philonthus splendens/Philonthus splendens_129.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,0.0013943167,Philonthus tenuicornis,0.00162986,Heterothops quadripunctulus,0.99642426
85,images_species/Philonthus splendens/Philonthus splendens_133.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus mannerheimi,1.5403582e-06,Philonthus tenuicornis,2.0031036e-06,Heterothops quadripunctulus,0.99999595
86,images_species/Philonthus splendens/Philonthus splendens_138.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus tenuicornis,2.8126653e-06,Paederidus ruficollis,3.633457e-06,Heterothops quadripunctulus,0.9999931
87,images_species/Philonthus splendens/Philonthus splendens_143.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus tenuicornis,7.936312e-06,Philonthus mannerheimi,2.920911e-05,Heterothops quadripunctulus,0.99996054
88,images_species/Philonthus splendens/Philonthus splendens_144.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,0.00015826449,Philonthus tenuicornis,0.0014712093,Heterothops quadripunctulus,0.99815613
89,images_species/Philonthus splendens/Philonthus splendens_145.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,2.6394262e-05,Philonthus tenuicornis,0.00019208765,Heterothops quadripunctulus,0.9997657
90,images_species/Philonthus splendens/Philonthus splendens_156.jpg,Philonthus splendens,Heterothops quadripunctulus,Quedius scintillans,0.0005726031,Philonthus tenuicornis,0.002369999,Heterothops quadripunctulus,0.99676836
91,images_species/Philonthus splendens/Philonthus splendens_166.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,4.833846e-05,Philonthus tenuicornis,9.567428e-05,Heterothops quadripunctulus,0.9998307
92,images_species/Philonthus splendens/Philonthus splendens_167.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus tenuicornis,7.4496755e-05,Paederidus ruficollis,0.00014222016,Heterothops quadripunctulus,0.99974924
93,images_species/Philonthus splendens/Philonthus splendens_17.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus tenuicornis,4.8903994e-06,Paederidus ruficollis,5.439504e-06,Heterothops quadripunctulus,0.9999882
94,images_species/Philonthus splendens/Philonthus splendens_34.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,2.1478854e-06,Philonthus mannerheimi,5.2291493e-06,Heterothops quadripunctulus,0.999992
95,images_species/Philonthus splendens/Philonthus splendens_47.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,4.6566224e-06,Philonthus mannerheimi,9.6882606e-05,Heterothops quadripunctulus,0.9998957
96,images_species/Philonthus splendens/Philonthus splendens_48.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus tenuicornis,2.2919578e-05,Philonthus mannerheimi,6.6757275e-05,Heterothops quadripunctulus,0.9998982
97,images_species/Philonthus splendens/Philonthus splendens_52.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,1.9402181e-05,Philonthus mannerheimi,0.0001685862,Heterothops quadripunctulus,0.9997991
98,images_species/Philonthus splendens/Philonthus splendens_53.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus tenuicornis,0.006624999,Philonthus mannerheimi,0.26183784,Heterothops quadripunctulus,0.7308386
99,images_species/Philonthus splendens/Philonthus splendens_59.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus tenuicornis,0.007829977,Philonthus mannerheimi,0.011816026,Heterothops quadripunctulus,0.97923744
100,images_species/Philonthus splendens/Philonthus splendens_66.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,1.06505395e-05,Philonthus tenuicornis,4.715782e-05,Heterothops quadripunctulus,0.9999387
101,images_species/Philonthus splendens/Philonthus splendens_67.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,2.7217018e-05,Philonthus tenuicornis,3.1139003e-05,Heterothops quadripunctulus,0.99992096
102,images_species/Philonthus splendens/Philonthus splendens_75.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,1.1558435e-06,Philonthus addendus,1.4507982e-06,Heterothops quadripunctulus,0.999997
103,images_species/Philonthus splendens/Philonthus splendens_76.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,9.960542e-06,Philonthus tenuicornis,5.067395e-05,Heterothops quadripunctulus,0.99993324
104,images_species/Philonthus splendens/Philonthus splendens_81.jpg,Philonthus splendens,Heterothops quadripunctulus,Quedius scintillans,0.0004730936,Philonthus tenuicornis,0.0042474885,Heterothops quadripunctulus,0.994802
105,images_species/Philonthus splendens/Philonthus splendens_83.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus tenuicornis,0.00018818541,Paederidus ruficollis,0.00038340245,Heterothops quadripunctulus,0.9993957
106,images_species/Philonthus splendens/Philonthus splendens_87.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,9.421333e-07,Philonthus tenuicornis,6.0972875e-06,Heterothops quadripunctulus,0.9999925
107,images_species/Philonthus splendens/Philonthus splendens_88.jpg,Philonthus splendens,Heterothops quadripunctulus,Paederidus ruficollis,1.235169e-05,Philonthus tenuicornis,5.569199e-05,Heterothops quadripunctulus,0.9999286
108,images_species/Philonthus splendens/Philonthus splendens_91.jpg,Philonthus splendens,Heterothops quadripunctulus,Philonthus mannerheimi,0.0010095161,Philonthus tenuicornis,0.0014279523,Heterothops quadripunctulus,0.99755377
109,images_species/Pseudomedon obscurellus/Pseudomedon obscurellus_100.jpg,Pseudomedon obscurellus,Megalinus glabratus,Ocypus olens,3.775449e-08,Staphylinus erythropterus,1.5900888e-07,Megalinus glabratus,0.99999976
110,images_species/Pseudomedon obscurellus/Pseudomedon obscurellus_102.jpg,Pseudomedon obscurellus,Megalinus glabratus,Quedius maurorufus,1.6617548e-06,Staphylinus erythropterus,3.590113e-06,Megalinus glabratus,0.99999034
111,images_species/Pseudomedon obscurellus/Pseudomedon obscurellus_104.jpg,Pseudomedon obscurellus,Megalinus glabratus,Ocypus olens,1.14385145e-07,Quedius scitus,1.5025869e-07,Megalinus glabratus,0.9999995
112,images_species/Pseudomedon obscurellus/Pseudomedon obscurellus_108.jpg,Pseudomedon obscurellus,Megalinus glabratus,Quedius fuliginosus,5.4040447e-07,Quedius brevicornis,6.702952e-06,Megalinus glabratus,0.9999918
113,images_species/Pseudomedon obscurellus/Pseudomedon obscurellus_113.jpg,Pseudomedon obscurellus,Megalinus glabratus,Philonthus punctus,1.4081144e-06,Quedius scitus,2.4657127e-06,Megalinus glabratus,0.9999943
114,images_species/Pseudomedon obscurellus/Pseudomedon obscurellus_115.jpg,Pseudomedon obscurellus,Megalinus glabratus,Staphylinus erythropterus,4.3941873e-06,Quedius scitus,1.5807409e-05,Megalinus glabratus,0.9999771
115,images_species/Pseudomedon obscurellus/Pseudomedon obscurellus_117.jpg,Pseudomedon obscurellus,Megalinus glabratus,Quedius scitus,0.0006239885,Ocypus olens,0.008195599,Megalinus glabratus,0.99061745
116,images_species/Pseudomedon obscurellus/Pseudomedon obscurellus_119.jpg,Pseudomedon obscurellus,Megalinus glabratus,Quedius scitus,7.516293e-05,Staphylinus erythropterus,0.00011910748,Megalinus glabratus,0.9997445
117,images_species/Pseudomedon obscurellus/Pseudomedon obscurellus_124.jpg,Pseudomedon obscurellus,Megalinus glabratus,Quedius scitus,2.0246585e-05,Ocypus olens,6.307247e-05,Megalinus glabratus,0.99990785
118,images_species/Pseudomedon obscurellus/Pseudomedon obscurellus_127.jpg,Pseudomedon obscurellus,Megalinus glabratus,Quedius brevicornis,1.9251954e-06,Staphylinus erythropterus,9.630825e-06,Megalinus glabratus,0.99998593
119,images_species/Pseudomedon obscurellus/Pseudomedon obscurellus_135.jpg,Pseudomedon obscurellus,Megalinus glabratus,Quedius brevicornis,1.3788071e-05,Staphylinus erythropterus,0.00012226703,Megalinus glabratus,0.9998616
120,images_species/Pseudomedon obscurellus/Pseudomedon obscurellus_139.jpg,Pseudomedon obscurellus,Megalinus glabratus,Quedius scitus,6.744501e-05,Staphylinus erythropterus,0.00018187624,Megalinus glabratus,0.99945134
